target_coverage,result_dir,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
0.48,runs\e3_iwildcam\policy_grid_48,fixed,0.3563132434390409,0.6926456497861699,0.0097917786450421,0.0274808158982094,0.6436867565609591,42791
0.48,runs\e3_iwildcam\policy_grid_48,uncertainty_grid,0.3563132434390409,0.6926456497861699,0.0097917786450421,0.0274808158982094,0.6436867565609591,42791
0.48,runs\e3_iwildcam\policy_grid_48,uaat_monotone,0.4064406066696268,0.7026944918323946,0.0218270197004042,0.0537028518859245,0.5935593933303732,42791
0.49,runs\e3_iwildcam\policy_grid_49,fixed,0.3626930896683882,0.6923418475847725,0.0110069874506321,0.0303479381443298,0.6373069103316118,42791
0.49,runs\e3_iwildcam\policy_grid_49,uncertainty_grid,0.3626930896683882,0.6923418475847725,0.0110069874506321,0.0303479381443298,0.6373069103316118,42791
0.49,runs\e3_iwildcam\policy_grid_49,uaat_monotone,0.4097824308849991,0.7048444766422847,0.0229253815054567,0.0559452523524379,0.5902175691150009,42791
0.5,runs\e3_iwildcam\policy_grid_50,uncertainty_grid,0.3672267532892431,0.691664134981655,0.0117781776541796,0.0320733104238258,0.632773246710757,42791
0.5,runs\e3_iwildcam\policy_grid_50,fixed,0.367507186090533,0.6923184781846651,0.0119651328550396,0.0325575480096655,0.632492813909467,42791
0.5,runs\e3_iwildcam\policy_grid_50,uaat_monotone,0.4130541469000491,0.707765651655722,0.0241639597111542,0.0585007072135785,0.586945853099951,42791
0.51,runs\e3_iwildcam\policy_grid_51,fixed,0.3722745437124629,0.6928092355869225,0.013016755859877,0.0349654739485248,0.6277254562875372,42791
0.51,runs\e3_iwildcam\policy_grid_51,uncertainty_grid,0.3722745437124629,0.6928092355869225,0.013016755859877,0.0349654739485248,0.6277254562875372,42791
0.51,runs\e3_iwildcam\policy_grid_51,uaat_monotone,0.4164427099156365,0.7117384496739969,0.0256362319179266,0.0615600448933782,0.5835572900843635,42791
0.52,runs\e3_iwildcam\policy_grid_52,uncertainty_grid,0.3781402631394452,0.6922016311841275,0.0140683788647145,0.0372041282986218,0.6218597368605547,42791
