target_coverage,result_dir,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
0.4,runs\e2_mvtec_loco\policy_grid_40,uaat_monotone,0.3221690590111642,2.009569377990431,0.1331738437001595,0.4133663366336633,0.6778309409888357,1254
0.4,runs\e2_mvtec_loco\policy_grid_40,fixed,0.4521531100478468,2.6770334928229667,0.2129186602870813,0.4708994708994709,0.5478468899521531,1254
0.4,runs\e2_mvtec_loco\policy_grid_40,uncertainty_grid,0.4521531100478468,2.6770334928229667,0.2129186602870813,0.4708994708994709,0.5478468899521531,1254
0.41,runs\e2_mvtec_loco\policy_grid_41,uaat_monotone,0.3237639553429027,2.0079744816586924,0.1331738437001595,0.4113300492610837,0.6762360446570973,1254
0.41,runs\e2_mvtec_loco\policy_grid_41,fixed,0.4617224880382775,2.699362041467305,0.2161084529505582,0.4680483592400691,0.5382775119617225,1254
0.41,runs\e2_mvtec_loco\policy_grid_41,uncertainty_grid,0.4617224880382775,2.699362041467305,0.2161084529505582,0.4680483592400691,0.5382775119617225,1254
0.42,runs\e2_mvtec_loco\policy_grid_42,uaat_monotone,0.3596491228070175,2.1874003189792663,0.1547049441786284,0.4301552106430155,0.6403508771929824,1254
0.42,runs\e2_mvtec_loco\policy_grid_42,fixed,0.4696969696969697,2.7312599681020733,0.2200956937799043,0.4685908319185059,0.5303030303030303,1254
0.42,runs\e2_mvtec_loco\policy_grid_42,uncertainty_grid,0.4696969696969697,2.7312599681020733,0.2200956937799043,0.4685908319185059,0.5303030303030303,1254
0.43,runs\e2_mvtec_loco\policy_grid_43,uaat_monotone,0.361244019138756,2.185805422647528,0.1547049441786284,0.4282560706401766,0.638755980861244,1254
0.43,runs\e2_mvtec_loco\policy_grid_43,fixed,0.4840510366826156,2.8046251993620417,0.2288676236044657,0.4728171334431631,0.5159489633173844,1254
0.43,runs\e2_mvtec_loco\policy_grid_43,uncertainty_grid,0.4840510366826156,2.8046251993620417,0.2288676236044657,0.4728171334431631,0.5159489633173844,1254
0.44,runs\e2_mvtec_loco\policy_grid_44,uaat_monotone,0.3652312599681021,2.1977671451355665,0.1562998405103668,0.4279475982532751,0.634768740031898,1254
0.44,runs\e2_mvtec_loco\policy_grid_44,fixed,0.4992025518341307,2.861244019138756,0.2360446570972886,0.4728434504792332,0.5007974481658692,1254
0.44,runs\e2_mvtec_loco\policy_grid_44,uncertainty_grid,0.4992025518341307,2.861244019138756,0.2360446570972886,0.4728434504792332,0.5007974481658692,1254
0.45,runs\e2_mvtec_loco\policy_grid_45,uaat_monotone,0.3676236044657097,2.2033492822966507,0.157097288676236,0.4273318872017353,0.6323763955342903,1254
0.45,runs\e2_mvtec_loco\policy_grid_45,fixed,0.5015948963317385,2.8668261562998403,0.2368421052631578,0.4721780604133545,0.4984051036682615,1254
0.45,runs\e2_mvtec_loco\policy_grid_45,uncertainty_grid,0.5015948963317385,2.8668261562998403,0.2368421052631578,0.4721780604133545,0.4984051036682615,1254
0.46,runs\e2_mvtec_loco\policy_grid_46,uaat_monotone,0.416267942583732,2.537480063795853,0.1953748006379585,0.4693486590038314,0.5837320574162679,1254
0.46,runs\e2_mvtec_loco\policy_grid_46,fixed,0.5119617224880383,2.9282296650717705,0.2440191387559808,0.4766355140186916,0.4880382775119617,1254
0.46,runs\e2_mvtec_loco\policy_grid_46,uncertainty_grid,0.5119617224880383,2.9282296650717705,0.2440191387559808,0.4766355140186916,0.4880382775119617,1254
0.47,runs\e2_mvtec_loco\policy_grid_47,uaat_monotone,0.4114832535885167,2.470494417862839,0.1881977671451355,0.4573643410852713,0.5885167464114833,1254
0.47,runs\e2_mvtec_loco\policy_grid_47,fixed,0.5175438596491229,2.970494417862839,0.2488038277511961,0.4807395993836671,0.4824561403508771,1254
0.47,runs\e2_mvtec_loco\policy_grid_47,uncertainty_grid,0.5175438596491229,2.970494417862839,0.2488038277511961,0.4807395993836671,0.4824561403508771,1254
0.48,runs\e2_mvtec_loco\policy_grid_48,uaat_monotone,0.4553429027113237,2.769537480063796,0.2224880382775119,0.4886164623467601,0.5446570972886762,1254
0.48,runs\e2_mvtec_loco\policy_grid_48,fixed,0.5207336523125997,2.9912280701754383,0.2511961722488038,0.4823889739663093,0.4792663476874003,1254
0.48,runs\e2_mvtec_loco\policy_grid_48,uncertainty_grid,0.5207336523125997,2.9912280701754383,0.2511961722488038,0.4823889739663093,0.4792663476874003,1254
0.49,runs\e2_mvtec_loco\policy_grid_49,uaat_monotone,0.4609250398724083,2.7559808612440198,0.2216905901116427,0.4809688581314879,0.5390749601275917,1254
0.49,runs\e2_mvtec_loco\policy_grid_49,fixed,0.5231259968102073,3.0047846889952154,0.2527910685805423,0.4832317073170731,0.4768740031897927,1254
0.49,runs\e2_mvtec_loco\policy_grid_49,uncertainty_grid,0.5231259968102073,3.0047846889952154,0.2527910685805423,0.4832317073170731,0.4768740031897927,1254
0.5,runs\e2_mvtec_loco\policy_grid_50,uaat_monotone,0.4681020733652312,2.7966507177033493,0.226475279106858,0.4838160136286201,0.5318979266347688,1254
0.5,runs\e2_mvtec_loco\policy_grid_50,fixed,0.5334928229665071,3.082137161084529,0.2615629984051036,0.4902840059790732,0.4665071770334928,1254
0.5,runs\e2_mvtec_loco\policy_grid_50,uncertainty_grid,0.5334928229665071,3.082137161084529,0.2615629984051036,0.4902840059790732,0.4665071770334928,1254
0.51,runs\e2_mvtec_loco\policy_grid_51,uaat_monotone,0.4792663476874003,2.8572567783094103,0.233652312599681,0.4875207986688852,0.5207336523125996,1254
0.51,runs\e2_mvtec_loco\policy_grid_51,fixed,0.5446570972886763,3.1507177033492826,0.2695374800637958,0.4948755490483162,0.4553429027113237,1254
0.51,runs\e2_mvtec_loco\policy_grid_51,uncertainty_grid,0.5446570972886763,3.1507177033492826,0.2695374800637958,0.4948755490483162,0.4553429027113237,1254
0.52,runs\e2_mvtec_loco\policy_grid_52,uaat_monotone,0.4840510366826156,2.8684210526315788,0.2352472089314194,0.485996705107084,0.5159489633173844,1254
0.52,runs\e2_mvtec_loco\policy_grid_52,fixed,0.5470494417862839,3.164274322169059,0.2711323763955343,0.4956268221574344,0.4529505582137161,1254
0.52,runs\e2_mvtec_loco\policy_grid_52,uncertainty_grid,0.5470494417862839,3.164274322169059,0.2711323763955343,0.4956268221574344,0.4529505582137161,1254
0.53,runs\e2_mvtec_loco\policy_grid_53,uaat_monotone,0.4864433811802233,2.8819776714513554,0.2368421052631578,0.4868852459016393,0.5135566188197767,1254
0.53,runs\e2_mvtec_loco\policy_grid_53,fixed,0.5494417862838915,3.1778309409888355,0.2727272727272727,0.4963715529753265,0.4505582137161085,1254
0.53,runs\e2_mvtec_loco\policy_grid_53,uncertainty_grid,0.5494417862838915,3.1778309409888355,0.2727272727272727,0.4963715529753265,0.4505582137161085,1254
0.54,runs\e2_mvtec_loco\policy_grid_54,uaat_monotone,0.4904306220095694,2.9098883572567784,0.2400318979266347,0.4894308943089431,0.5095693779904307,1254
0.54,runs\e2_mvtec_loco\policy_grid_54,fixed,0.5542264752791068,3.2049441786283897,0.2759170653907496,0.497841726618705,0.4457735247208931,1254
0.54,runs\e2_mvtec_loco\policy_grid_54,uncertainty_grid,0.5542264752791068,3.2049441786283897,0.2759170653907496,0.497841726618705,0.4457735247208931,1254
0.55,runs\e2_mvtec_loco\policy_grid_55,uaat_monotone,0.5063795853269537,2.9896331738437,0.2496012759170653,0.4929133858267716,0.4936204146730463,1254
0.55,runs\e2_mvtec_loco\policy_grid_55,fixed,0.5677830940988836,3.2950558213716103,0.2862838915470494,0.5042134831460674,0.4322169059011164,1254
0.55,runs\e2_mvtec_loco\policy_grid_55,uncertainty_grid,0.5677830940988836,3.2950558213716103,0.2862838915470494,0.5042134831460674,0.4322169059011164,1254
0.56,runs\e2_mvtec_loco\policy_grid_56,uaat_monotone,0.5127591706539075,2.9992025518341308,0.2511961722488038,0.4898911353032659,0.4872408293460925,1254
0.56,runs\e2_mvtec_loco\policy_grid_56,fixed,0.5741626794258373,3.328548644338118,0.2902711323763955,0.5055555555555555,0.4258373205741627,1254
