uaat_target,baseline,baseline_target,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
0.4,fixed,0.4,0.3221690590111642,0.4521531100478468,0.1299840510366826,2.009569377990431,2.6770334928229667,0.6674641148325358,24.932975871313666,0.1331738437001595,0.2129186602870813,0.07974481658692181,0.4133663366336633,0.4708994708994709,0.6778309409888357,0.5478468899521531,1254
0.4,uncertainty_grid,0.4,0.3221690590111642,0.4521531100478468,0.1299840510366826,2.009569377990431,2.6770334928229667,0.6674641148325358,24.932975871313666,0.1331738437001595,0.2129186602870813,0.07974481658692181,0.4133663366336633,0.4708994708994709,0.6778309409888357,0.5478468899521531,1254
0.41,fixed,0.4,0.3237639553429027,0.4521531100478468,0.1283891547049441,2.0079744816586924,2.6770334928229667,0.6690590111642742,24.992552874590405,0.1331738437001595,0.2129186602870813,0.07974481658692181,0.4113300492610837,0.4708994708994709,0.6762360446570973,0.5478468899521531,1254
0.41,uncertainty_grid,0.4,0.3237639553429027,0.4521531100478468,0.1283891547049441,2.0079744816586924,2.6770334928229667,0.6690590111642742,24.992552874590405,0.1331738437001595,0.2129186602870813,0.07974481658692181,0.4113300492610837,0.4708994708994709,0.6762360446570973,0.5478468899521531,1254
0.42,fixed,0.4,0.3596491228070175,0.4521531100478468,0.09250398724082931,2.1874003189792663,2.6770334928229667,0.4896331738437003,18.290140005957706,0.1547049441786284,0.2129186602870813,0.05821371610845291,0.4301552106430155,0.4708994708994709,0.6403508771929824,0.5478468899521531,1254
0.42,uncertainty_grid,0.4,0.3596491228070175,0.4521531100478468,0.09250398724082931,2.1874003189792663,2.6770334928229667,0.4896331738437003,18.290140005957706,0.1547049441786284,0.2129186602870813,0.05821371610845291,0.4301552106430155,0.4708994708994709,0.6403508771929824,0.5478468899521531,1254
0.43,fixed,0.4,0.361244019138756,0.4521531100478468,0.09090909090909083,2.185805422647528,2.6770334928229667,0.4912280701754388,18.349717009234443,0.1547049441786284,0.2129186602870813,0.05821371610845291,0.4282560706401766,0.4708994708994709,0.638755980861244,0.5478468899521531,1254
0.43,uncertainty_grid,0.4,0.361244019138756,0.4521531100478468,0.09090909090909083,2.185805422647528,2.6770334928229667,0.4912280701754388,18.349717009234443,0.1547049441786284,0.2129186602870813,0.05821371610845291,0.4282560706401766,0.4708994708994709,0.638755980861244,0.5478468899521531,1254
0.44,fixed,0.4,0.3652312599681021,0.4521531100478468,0.08692185007974473,2.1977671451355665,2.6770334928229667,0.4792663476874002,17.902889484658914,0.1562998405103668,0.2129186602870813,0.05661881977671451,0.4279475982532751,0.4708994708994709,0.634768740031898,0.5478468899521531,1254
0.44,uncertainty_grid,0.4,0.3652312599681021,0.4521531100478468,0.08692185007974473,2.1977671451355665,2.6770334928229667,0.4792663476874002,17.902889484658914,0.1562998405103668,0.2129186602870813,0.05661881977671451,0.4279475982532751,0.4708994708994709,0.634768740031898,0.5478468899521531,1254
0.45,fixed,0.4,0.3676236044657097,0.4521531100478468,0.08452950558213712,2.2033492822966507,2.6770334928229667,0.47368421052631593,17.69436997319035,0.157097288676236,0.2129186602870813,0.0558213716108453,0.4273318872017353,0.4708994708994709,0.6323763955342903,0.5478468899521531,1254
