policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
uncertainty_grid,bottle,0.36363636363636365,0.8787878787878788,0.12121212121212122,0.3333333333333333,0.6363636363636364,66
uncertainty_grid,cable,0.7916666666666666,1.025,0.4083333333333333,0.5157894736842106,0.20833333333333337,120
uncertainty_grid,capsule,0.8095238095238095,1.4666666666666666,0.638095238095238,0.788235294117647,0.19047619047619047,105
uncertainty_grid,carpet,0.4731182795698925,1.150537634408602,0.3118279569892473,0.6590909090909091,0.5268817204301075,93
uncertainty_grid,grid,1.0,1.4603174603174602,0.7301587301587301,0.7301587301587301,0.0,63
uncertainty_grid,hazelnut,0.7840909090909091,1.0568181818181819,0.42045454545454547,0.5362318840579711,0.21590909090909094,88
uncertainty_grid,leather,0.37,0.95,0.16,0.43243243243243246,0.63,100
uncertainty_grid,metal_nut,0.75,1.3804347826086956,0.5652173913043478,0.7536231884057971,0.25,92
uncertainty_grid,pill,0.9029850746268657,1.6044776119402984,0.753731343283582,0.8347107438016529,0.09701492537313428,134
uncertainty_grid,screw,0.9921875,1.4765625,0.734375,0.7401574803149606,0.0078125,128
uncertainty_grid,tile,0.44086021505376344,0.8817204301075268,0.16129032258064516,0.36585365853658536,0.5591397849462365,93
uncertainty_grid,toothbrush,0.7941176470588235,1.2058823529411766,0.5,0.6296296296296297,0.20588235294117652,34
uncertainty_grid,transistor,0.875,0.675,0.275,0.3142857142857143,0.125,80
uncertainty_grid,wood,0.49206349206349204,1.1111111111111112,0.30158730158730157,0.6129032258064516,0.5079365079365079,63
uncertainty_grid,zipper,0.7355371900826446,1.3057851239669422,0.5206611570247934,0.7078651685393258,0.2644628099173554,121
