policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
fixed,bottle,0.2727272727272727,0.9545454545454546,0.045454545454545456,0.16666666666666666,0.7272727272727273,66
fixed,cable,0.7166666666666667,1.9916666666666667,0.3416666666666667,0.47674418604651164,0.2833333333333333,120
fixed,capsule,0.6571428571428571,2.8190476190476192,0.49523809523809526,0.7536231884057971,0.34285714285714286,105
fixed,carpet,0.3333333333333333,1.6881720430107527,0.20430107526881722,0.6129032258064516,0.6666666666666667,93
fixed,grid,0.9365079365079365,3.6349206349206353,0.7142857142857143,0.7627118644067796,0.06349206349206349,63
fixed,hazelnut,0.625,1.6818181818181817,0.26136363636363635,0.41818181818181815,0.375,88
fixed,leather,0.2,1.05,0.05,0.25,0.8,100
fixed,metal_nut,0.6956521739130435,2.8586956521739135,0.5108695652173914,0.734375,0.30434782608695654,92
fixed,pill,0.8134328358208955,3.5074626865671643,0.664179104477612,0.8165137614678899,0.18656716417910446,134
fixed,screw,0.90625,3.3359375,0.6484375,0.7155172413793104,0.09375,128
fixed,tile,0.3763440860215054,1.161290322580645,0.10752688172043011,0.2857142857142857,0.6236559139784946,93
fixed,toothbrush,0.5882352941176471,1.8823529411764706,0.29411764705882354,0.5,0.4117647058823529,34
fixed,transistor,0.8125,1.25,0.2125,0.26153846153846155,0.1875,80
fixed,wood,0.2857142857142857,1.4285714285714284,0.14285714285714285,0.5,0.7142857142857143,63
fixed,zipper,0.5206611570247934,2.0495867768595044,0.3140495867768595,0.6031746031746031,0.47933884297520657,121
