policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
fixed,bottle,0.5909090909090909,2.151515151515152,0.3484848484848485,0.5897435897435898,0.40909090909090906,66
fixed,cable,0.9083333333333333,2.716666666666667,0.525,0.5779816513761468,0.09166666666666667,120
fixed,capsule,0.9047619047619048,3.761904761904762,0.7333333333333333,0.8105263157894737,0.09523809523809523,105
fixed,carpet,0.7634408602150538,2.870967741935484,0.5268817204301075,0.6901408450704225,0.23655913978494625,93
fixed,grid,1.0,3.6507936507936507,0.7301587301587301,0.7301587301587301,0.0,63
fixed,hazelnut,1.0,3.1818181818181817,0.6363636363636364,0.6363636363636364,0.0,88
fixed,leather,0.68,2.42,0.42,0.6176470588235294,0.31999999999999995,100
fixed,metal_nut,0.8586956521739131,3.4565217391304346,0.6630434782608695,0.7721518987341772,0.14130434782608692,92
fixed,pill,0.9328358208955224,3.9477611940298507,0.7761194029850746,0.832,0.06716417910447758,134
fixed,screw,1.0,3.7109375,0.7421875,0.7421875,0.0,128
fixed,tile,0.6451612903225806,2.1827956989247315,0.3655913978494624,0.5666666666666667,0.3548387096774194,93
fixed,toothbrush,0.9411764705882353,3.2941176470588234,0.6470588235294118,0.6875,0.05882352941176472,34
fixed,transistor,0.925,1.7,0.325,0.35135135135135137,0.07499999999999996,80
fixed,wood,0.9047619047619048,3.4285714285714284,0.6666666666666666,0.7368421052631579,0.09523809523809523,63
fixed,zipper,0.9917355371900827,3.892561983471074,0.7768595041322314,0.7833333333333333,0.008264462809917328,121
