seed,target_coverage,result_dir,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
2,0.4,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_40,10:1,10,1,uaat_monotone,0.2971014492753623,1.876811594202899,0.117391304347826,0.3951219512195122,0.7028985507246377,1380
2,0.4,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_40,10:1,10,1,fixed,0.4478260869565217,2.827536231884058,0.2275362318840579,0.5080906148867314,0.5521739130434782,1380
2,0.4,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_40,10:1,10,1,uncertainty_grid,0.4478260869565217,2.827536231884058,0.2275362318840579,0.5080906148867314,0.5521739130434782,1380
2,0.41,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_41,10:1,10,1,uaat_monotone,0.3188405797101449,2.036231884057971,0.1355072463768116,0.425,0.6811594202898551,1380
2,0.41,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_41,10:1,10,1,fixed,0.4543478260869565,2.85,0.2304347826086956,0.507177033492823,0.5456521739130435,1380
2,0.41,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_41,10:1,10,1,uncertainty_grid,0.4543478260869565,2.85,0.2304347826086956,0.507177033492823,0.5456521739130435,1380
2,0.42,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_42,10:1,10,1,uaat_monotone,0.3195652173913043,2.035507246376812,0.1355072463768116,0.4240362811791383,0.6804347826086956,1380
2,0.42,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_42,10:1,10,1,fixed,0.4688405797101449,2.9369565217391305,0.2405797101449275,0.5131375579598145,0.5311594202898551,1380
2,0.42,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_42,10:1,10,1,uncertainty_grid,0.4688405797101449,2.9369565217391305,0.2405797101449275,0.5131375579598145,0.5311594202898551,1380
2,0.43,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_43,10:1,10,1,uaat_monotone,0.3384057971014493,2.132608695652173,0.1471014492753623,0.4346895074946467,0.6615942028985506,1380
2,0.43,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_43,10:1,10,1,fixed,0.4753623188405797,2.988405797101449,0.2463768115942029,0.5182926829268293,0.5246376811594202,1380
2,0.43,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_43,10:1,10,1,uncertainty_grid,0.4753623188405797,2.988405797101449,0.2463768115942029,0.5182926829268293,0.5246376811594202,1380
2,0.44,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_44,10:1,10,1,uaat_monotone,0.3384057971014493,2.132608695652173,0.1471014492753623,0.4346895074946467,0.6615942028985506,1380
2,0.44,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_44,10:1,10,1,fixed,0.4913043478260869,3.095652173913044,0.258695652173913,0.5265486725663717,0.508695652173913,1380
2,0.44,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_44,10:1,10,1,uncertainty_grid,0.4913043478260869,3.095652173913044,0.258695652173913,0.5265486725663717,0.508695652173913,1380
2,0.45,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_45,10:1,10,1,uaat_monotone,0.3681159420289855,2.320289855072464,0.1688405797101449,0.4586614173228346,0.6318840579710145,1380
2,0.45,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_45,10:1,10,1,fixed,0.4971014492753623,3.1405797101449275,0.263768115942029,0.5306122448979592,0.5028985507246377,1380
2,0.45,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_45,10:1,10,1,uncertainty_grid,0.4971014492753623,3.1405797101449275,0.263768115942029,0.5306122448979592,0.5028985507246377,1380
2,0.46,runs_seed3\e2_mvtec_ad\seed_02\policy_grid_46,10:1,10,1,uaat_monotone,0.3695652173913043,2.333333333333333,0.1702898550724637,0.4607843137254901,0.6304347826086957,1380
