seed,target_coverage,result_dir,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
3,0.4,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_40,10:1,10,1,uaat_monotone,0.2719298245614035,1.8046251993620412,0.1076555023923445,0.3958944281524926,0.7280701754385965,1254
3,0.4,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_40,10:1,10,1,fixed,0.3652312599681021,2.253588516746412,0.1618819776714513,0.4432314410480349,0.634768740031898,1254
3,0.4,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_40,10:1,10,1,uncertainty_grid,0.3652312599681021,2.253588516746412,0.1618819776714513,0.4432314410480349,0.634768740031898,1254
3,0.41,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_41,10:1,10,1,uaat_monotone,0.2727272727272727,1.8118022328548644,0.1084529505582137,0.3976608187134502,0.7272727272727273,1254
3,0.41,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_41,10:1,10,1,fixed,0.3676236044657097,2.259170653907496,0.1626794258373205,0.4425162689804772,0.6323763955342903,1254
3,0.41,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_41,10:1,10,1,uncertainty_grid,0.3676236044657097,2.259170653907496,0.1626794258373205,0.4425162689804772,0.6323763955342903,1254
3,0.42,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_42,10:1,10,1,uaat_monotone,0.2743221690590112,1.818181818181818,0.1092503987240829,0.3982558139534883,0.7256778309409888,1254
3,0.42,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_42,10:1,10,1,fixed,0.3771929824561403,2.313397129186603,0.1690590111642743,0.4482029598308668,0.6228070175438596,1254
3,0.42,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_42,10:1,10,1,uncertainty_grid,0.3771929824561403,2.313397129186603,0.1690590111642743,0.4482029598308668,0.6228070175438596,1254
3,0.43,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_43,10:1,10,1,uaat_monotone,0.2783094098883573,1.822169059011164,0.1100478468899521,0.3954154727793696,0.7216905901116427,1254
3,0.43,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_43,10:1,10,1,fixed,0.3899521531100478,2.4043062200956937,0.1794258373205741,0.4601226993865031,0.6100478468899522,1254
3,0.43,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_43,10:1,10,1,uncertainty_grid,0.3899521531100478,2.4043062200956937,0.1794258373205741,0.4601226993865031,0.6100478468899522,1254
3,0.44,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_44,10:1,10,1,uaat_monotone,0.2783094098883573,1.822169059011164,0.1100478468899521,0.3954154727793696,0.7216905901116427,1254
3,0.44,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_44,10:1,10,1,fixed,0.4106858054226475,2.495215311004785,0.1905901116427432,0.4640776699029126,0.5893141945773525,1254
3,0.44,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_44,10:1,10,1,uncertainty_grid,0.4106858054226475,2.495215311004785,0.1905901116427432,0.4640776699029126,0.5893141945773525,1254
3,0.45,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_45,10:1,10,1,uaat_monotone,0.2950558213716108,1.8931419457735248,0.1188197767145135,0.4027027027027027,0.7049441786283892,1254
3,0.45,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_45,10:1,10,1,fixed,0.4250398724082934,2.552631578947368,0.1977671451355661,0.4652908067542214,0.5749601275917066,1254
3,0.45,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_45,10:1,10,1,uncertainty_grid,0.4250398724082934,2.552631578947368,0.1977671451355661,0.4652908067542214,0.5749601275917066,1254
3,0.46,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_46,10:1,10,1,uaat_monotone,0.2958532695374801,1.900318979266348,0.1196172248803827,0.4043126684636118,0.70414673046252,1254
3,0.46,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_46,10:1,10,1,fixed,0.4282296650717703,2.549441786283891,0.1977671451355661,0.4618249534450652,0.5717703349282297,1254
3,0.46,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_46,10:1,10,1,uncertainty_grid,0.4282296650717703,2.549441786283891,0.1977671451355661,0.4618249534450652,0.5717703349282297,1254
3,0.47,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_47,10:1,10,1,uaat_monotone,0.2990430622009569,1.9130781499202552,0.1212121212121212,0.4053333333333333,0.700956937799043,1254
3,0.47,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_47,10:1,10,1,fixed,0.4401913875598086,2.5853269537480066,0.2025518341307815,0.4601449275362319,0.5598086124401913,1254
3,0.47,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_47,10:1,10,1,uncertainty_grid,0.4401913875598086,2.5853269537480066,0.2025518341307815,0.4601449275362319,0.5598086124401913,1254
3,0.48,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_48,10:1,10,1,uaat_monotone,0.2998405103668261,1.920255183413078,0.1220095693779904,0.4069148936170212,0.7001594896331739,1254
3,0.48,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_48,10:1,10,1,fixed,0.4497607655502392,2.631578947368421,0.208133971291866,0.4627659574468085,0.5502392344497608,1254
3,0.48,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_48,10:1,10,1,uncertainty_grid,0.4497607655502392,2.631578947368421,0.208133971291866,0.4627659574468085,0.5502392344497608,1254
3,0.49,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_49,10:1,10,1,uaat_monotone,0.3006379585326953,1.9274322169059008,0.1228070175438596,0.4084880636604774,0.6993620414673046,1254
3,0.49,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_49,10:1,10,1,fixed,0.4633173843700159,2.705741626794258,0.2169059011164274,0.4681583476764199,0.536682615629984,1254
3,0.49,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_49,10:1,10,1,uncertainty_grid,0.4633173843700159,2.705741626794258,0.2169059011164274,0.4681583476764199,0.536682615629984,1254
3,0.5,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_50,10:1,10,1,uaat_monotone,0.3293460925039872,2.106060606060606,0.1435406698564593,0.4358353510895884,0.6706539074960127,1254
3,0.5,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_50,10:1,10,1,fixed,0.4696969696969697,2.723285486443381,0.219298245614035,0.466893039049236,0.5303030303030303,1254
3,0.5,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_50,10:1,10,1,uncertainty_grid,0.4696969696969697,2.723285486443381,0.219298245614035,0.466893039049236,0.5303030303030303,1254
3,0.51,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_51,10:1,10,1,uaat_monotone,0.3325358851674641,2.1188197767145134,0.1451355661881977,0.4364508393285372,0.6674641148325359,1254
3,0.51,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_51,10:1,10,1,fixed,0.4808612440191387,2.767942583732057,0.2248803827751196,0.4676616915422885,0.5191387559808612,1254
3,0.51,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_51,10:1,10,1,uncertainty_grid,0.4808612440191387,2.767942583732057,0.2248803827751196,0.4676616915422885,0.5191387559808612,1254
3,0.52,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_52,10:1,10,1,uaat_monotone,0.3381180223285486,2.15311004784689,0.1491228070175438,0.4410377358490566,0.6618819776714513,1254
3,0.52,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_52,10:1,10,1,fixed,0.4888357256778309,2.807814992025518,0.2296650717703349,0.4698205546492659,0.511164274322169,1254
3,0.52,runs_seed3\e2_mvtec_loco\seed_03\policy_grid_52,10:1,10,1,uncertainty_grid,0.4888357256778309,2.807814992025518,0.2296650717703349,0.4698205546492659,0.511164274322169,1254
