seed,uaat_target,baseline,baseline_target,cost_ratio,c_wrong,c_defer,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
3,0.4,fixed,0.4,10:1,10,1,0.2719298245614035,0.3652312599681021,0.09330143540669855,1.8046251993620412,2.253588516746412,0.4489633173843708,19.9221514508139,0.1076555023923445,0.1618819776714513,0.05422647527910679,0.3958944281524926,0.4432314410480349,0.7280701754385965,0.634768740031898,1254
3,0.4,uncertainty_grid,0.4,10:1,10,1,0.2719298245614035,0.3652312599681021,0.09330143540669855,1.8046251993620412,2.253588516746412,0.4489633173843708,19.9221514508139,0.1076555023923445,0.1618819776714513,0.05422647527910679,0.3958944281524926,0.4432314410480349,0.7280701754385965,0.634768740031898,1254
3,0.41,fixed,0.4,10:1,10,1,0.2727272727272727,0.3652312599681021,0.09250398724082937,1.8118022328548644,2.253588516746412,0.4417862838915476,19.603680113234272,0.1084529505582137,0.1618819776714513,0.05342902711323759,0.3976608187134502,0.4432314410480349,0.7272727272727273,0.634768740031898,1254
3,0.41,uncertainty_grid,0.4,10:1,10,1,0.2727272727272727,0.3652312599681021,0.09250398724082937,1.8118022328548644,2.253588516746412,0.4417862838915476,19.603680113234272,0.1084529505582137,0.1618819776714513,0.05342902711323759,0.3976608187134502,0.4432314410480349,0.7272727272727273,0.634768740031898,1254
3,0.42,fixed,0.4,10:1,10,1,0.2743221690590112,0.3652312599681021,0.09090909090909088,1.818181818181818,2.253588516746412,0.43540669856459413,19.32059447983018,0.1092503987240829,0.1618819776714513,0.05263157894736839,0.3982558139534883,0.4432314410480349,0.7256778309409888,0.634768740031898,1254
3,0.42,uncertainty_grid,0.4,10:1,10,1,0.2743221690590112,0.3652312599681021,0.09090909090909088,1.818181818181818,2.253588516746412,0.43540669856459413,19.32059447983018,0.1092503987240829,0.1618819776714513,0.05263157894736839,0.3982558139534883,0.4432314410480349,0.7256778309409888,0.634768740031898,1254
3,0.43,fixed,0.4,10:1,10,1,0.2783094098883573,0.3652312599681021,0.08692185007974479,1.822169059011164,2.253588516746412,0.4314194577352479,19.14366595895261,0.1100478468899521,0.1618819776714513,0.05183413078149919,0.3954154727793696,0.4432314410480349,0.7216905901116427,0.634768740031898,1254
3,0.43,uncertainty_grid,0.4,10:1,10,1,0.2783094098883573,0.3652312599681021,0.08692185007974479,1.822169059011164,2.253588516746412,0.4314194577352479,19.14366595895261,0.1100478468899521,0.1618819776714513,0.05183413078149919,0.3954154727793696,0.4432314410480349,0.7216905901116427,0.634768740031898,1254
3,0.44,fixed,0.4,10:1,10,1,0.2783094098883573,0.3652312599681021,0.08692185007974479,1.822169059011164,2.253588516746412,0.4314194577352479,19.14366595895261,0.1100478468899521,0.1618819776714513,0.05183413078149919,0.3954154727793696,0.4432314410480349,0.7216905901116427,0.634768740031898,1254
3,0.44,uncertainty_grid,0.4,10:1,10,1,0.2783094098883573,0.3652312599681021,0.08692185007974479,1.822169059011164,2.253588516746412,0.4314194577352479,19.14366595895261,0.1100478468899521,0.1618819776714513,0.05183413078149919,0.3954154727793696,0.4432314410480349,0.7216905901116427,0.634768740031898,1254
3,0.45,fixed,0.4,10:1,10,1,0.2950558213716108,0.3652312599681021,0.07017543859649128,1.8931419457735248,2.253588516746412,0.36044657097288724,15.994338287331935,0.1188197767145135,0.1618819776714513,0.04306220095693779,0.4027027027027027,0.4432314410480349,0.7049441786283892,0.634768740031898,1254
3,0.45,uncertainty_grid,0.4,10:1,10,1,0.2950558213716108,0.3652312599681021,0.07017543859649128,1.8931419457735248,2.253588516746412,0.36044657097288724,15.994338287331935,0.1188197767145135,0.1618819776714513,0.04306220095693779,0.4027027027027027,0.4432314410480349,0.7049441786283892,0.634768740031898,1254
3,0.46,fixed,0.4,10:1,10,1,0.2958532695374801,0.3652312599681021,0.06937799043062198,1.900318979266348,2.253588516746412,0.35326953748006407,15.67586694975231,0.1196172248803827,0.1618819776714513,0.04226475279106859,0.4043126684636118,0.4432314410480349,0.70414673046252,0.634768740031898,1254
