policy,n,mean_risk,std_risk,ci95_lo,ci95_hi,mean_diff_base_minus_prop,paired_t_p,wilcoxon_p
fixed,10,2.855797101449276,0.0,2.855797101449276,2.855797101449276,-0.0036231884057964514,0.0,0.001953125
uaat_monotone,10,2.8594202898550725,0.0,2.8594202898550725,2.8594202898550725,-0.0036231884057964514,0.0,0.001953125
uncertainty_grid,10,2.855797101449276,0.0,2.855797101449276,2.855797101449276,-0.0036231884057964514,0.0,0.001953125
