cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
20:1,20,1,0.9,uaat_monotone,0.6020733652312599,0.030771581150836957,6.479797979797979,0.31999671596780815,0.30409356725146197,0.01749546270271592,0.5049986792440405,0.006889208938292661,0.39792663476874,0.03077158115083694,1254.0,0.0
20:1,20,1,0.9,uncertainty_grid,0.9082934609250399,0.01568765197201436,10.921052631578947,0.29806538746827266,0.5414673046251993,0.01568765197201435,0.5960563113939643,0.007004653968538038,0.09170653907496003,0.01568765197201434,1254.0,0.0
2:1,2,1,0.6,fixed,0.6081871345029239,0.04376772542864514,1.0101010101010102,0.014361448866815505,0.30914407230196705,0.02894345048126782,0.5077693191231488,0.01133420745451041,0.39181286549707606,0.043767725428645106,1254.0,0.0
2:1,2,1,0.6,uaat_monotone,0.5914407230196703,0.020800000169579697,0.9997341839447104,0.006875341390950377,0.2955874534821903,0.007987761404208753,0.4998849554474533,0.005920453642918017,0.4085592769803296,0.020800000169579662,1254.0,0.0
2:1,2,1,0.6,uncertainty_grid,0.6081871345029239,0.04376772542864514,1.0101010101010102,0.014361448866815505,0.30914407230196705,0.02894345048126782,0.5077693191231488,0.01133420745451041,0.39181286549707606,0.043767725428645106,1254.0,0.0
2:1,2,1,0.7,fixed,0.709197235513025,0.02596711317048593,1.043062200956938,0.01237972463816587,0.37612971823498137,0.01914429301438684,0.5301753397248578,0.007650478897726742,0.290802764486975,0.025967113170485882,1254.0,0.0
2:1,2,1,0.7,uaat_monotone,0.6847421584263689,0.025930352787362505,1.033492822966507,0.00730873316579885,0.35911749069643806,0.016271330082725022,0.5243605118866072,0.004524069629315389,0.31525784157363107,0.02593035278736247,1254.0,0.0
2:1,2,1,0.7,uncertainty_grid,0.709197235513025,0.02596711317048593,1.043062200956938,0.01237972463816587,0.37612971823498137,0.01914429301438684,0.5301753397248578,0.007650478897726742,0.290802764486975,0.025967113170485882,1254.0,0.0
2:1,2,1,0.8,fixed,0.8040935672514621,0.020320589955998367,1.0821371610845294,0.015214341330413694,0.4431153641679957,0.01776598066082603,0.5509347362024052,0.008293095338744283,0.19590643274853795,0.020320589955998336,1254.0,0.0
2:1,2,1,0.8,uaat_monotone,0.7807017543859649,0.015214341330413774,1.0651249335459863,0.010253748815516238,0.4229133439659756,0.012667466834071101,0.5416354489646559,0.005838150208046761,0.21929824561403502,0.01521434133041376,1254.0,0.0
2:1,2,1,0.8,uncertainty_grid,0.8040935672514621,0.020320589955998367,1.0821371610845294,0.015214341330413694,0.4431153641679957,0.01776598066082603,0.5509347362024052,0.008293095338744283,0.19590643274853795,0.020320589955998336,1254.0,0.0
2:1,2,1,0.9,fixed,0.9082934609250399,0.01568765197201436,1.1746411483253592,0.015687651972014383,0.5414673046251993,0.01568765197201435,0.5960563113939643,0.007004653968538038,0.09170653907496003,0.01568765197201434,1254.0,0.0
2:1,2,1,0.9,uaat_monotone,0.8569909622541202,0.015263027347108533,1.123338649654439,0.015263027347108556,0.4901648059542796,0.015263027347108585,0.5718704073268762,0.007570980820805138,0.14300903774587984,0.015263027347108552,1254.0,0.0
2:1,2,1,0.9,uncertainty_grid,0.9082934609250399,0.01568765197201436,1.1746411483253592,0.015687651972014383,0.5414673046251993,0.01568765197201435,0.5960563113939643,0.007004653968538038,0.09170653907496003,0.01568765197201434,1254.0,0.0
5:1,5,1,0.6,fixed,0.6081871345029239,0.04376772542864514,1.9375332270069112,0.10103493077403286,0.30914407230196705,0.02894345048126782,0.5077693191231488,0.01133420745451041,0.39181286549707606,0.043767725428645106,1254.0,0.0
5:1,5,1,0.6,uaat_monotone,0.5550239234449761,0.03508771929824564,1.8272195640616695,0.06386725138124848,0.2764486975013291,0.01970089735639321,0.49793422044850005,0.005685552557808391,0.4449760765550239,0.03508771929824561,1254.0,0.0
5:1,5,1,0.6,uncertainty_grid,0.6081871345029239,0.04376772542864514,1.9375332270069112,0.10103493077403286,0.30914407230196705,0.02894345048126782,0.5077693191231488,0.01133420745451041,0.39181286549707606,0.043767725428645106,1254.0,0.0
5:1,5,1,0.7,fixed,0.709197235513025,0.02596711317048593,2.171451355661882,0.06978013206485977,0.37612971823498137,0.01914429301438684,0.5301753397248578,0.007650478897726742,0.290802764486975,0.025967113170485882,1254.0,0.0
5:1,5,1,0.7,uaat_monotone,0.6342371079213184,0.031317824487701,1.9912280701754386,0.05772004522870024,0.3250930356193514,0.017765980660826124,0.5124855709139675,0.0036762443258297538,0.36576289207868157,0.03131782448770098,1254.0,0.0
5:1,5,1,0.7,uncertainty_grid,0.709197235513025,0.02596711317048593,2.171451355661882,0.06978013206485977,0.37612971823498137,0.01914429301438684,0.5301753397248578,0.007650478897726742,0.290802764486975,0.025967113170485882,1254.0,0.0
5:1,5,1,0.8,fixed,0.8040935672514621,0.020320589955998367,2.4114832535885165,0.06851096206935657,0.4431153641679957,0.01776598066082603,0.5509347362024052,0.008293095338744283,0.19590643274853795,0.020320589955998336,1254.0,0.0
5:1,5,1,0.8,uaat_monotone,0.7208931419457736,0.036967550196169874,2.2089314194577354,0.07233958195327977,0.3859649122807018,0.02185357193946525,0.5352980234679839,0.003155185208590011,0.2791068580542264,0.036967550196169895,1254.0,0.0
5:1,5,1,0.8,uncertainty_grid,0.8040935672514621,0.020320589955998367,2.4114832535885165,0.06851096206935657,0.4431153641679957,0.01776598066082603,0.5509347362024052,0.008293095338744283,0.19590643274853795,0.020320589955998336,1254.0,0.0
5:1,5,1,0.9,fixed,0.9082934609250399,0.01568765197201436,2.799043062200957,0.0627506078880574,0.5414673046251993,0.01568765197201435,0.5960563113939643,0.007004653968538038,0.09170653907496003,0.01568765197201434,1254.0,0.0
5:1,5,1,0.9,uaat_monotone,0.8067517278043593,0.010128952091046082,2.4207868155236576,0.03711633660324395,0.44550770866560335,0.00944676004461292,0.5521838659583592,0.004826206444403239,0.19324827219564059,0.010128952091046134,1254.0,0.0
5:1,5,1,0.9,uncertainty_grid,0.9082934609250399,0.01568765197201436,2.799043062200957,0.0627506078880574,0.5414673046251993,0.01568765197201435,0.5960563113939643,0.007004653968538038,0.09170653907496003,0.01568765197201434,1254.0,0.0
