seed,target_coverage,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,0.6,10:1,10,1,uaat_monotone,0.5358851674641149,3.047846889952153,0.2583732057416268,0.4821428571428571,0.4641148325358851,1254
1,0.6,10:1,10,1,fixed,0.6467304625199362,3.7105263157894735,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,0.6,10:1,10,1,uncertainty_grid,0.6467304625199362,3.7105263157894735,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,0.7,10:1,10,1,uaat_monotone,0.6028708133971292,3.4035087719298245,0.3006379585326953,0.4986772486772486,0.3971291866028708,1254
1,0.7,10:1,10,1,fixed,0.7360446570972887,4.219298245614034,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,0.7,10:1,10,1,uncertainty_grid,0.7360446570972887,4.219298245614034,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,0.8,10:1,10,1,uaat_monotone,0.6794258373205742,3.861244019138757,0.354066985645933,0.5211267605633803,0.3205741626794258,1254
1,0.8,10:1,10,1,fixed,0.8141945773524721,4.7073365231259965,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,0.8,10:1,10,1,uncertainty_grid,0.8141945773524721,4.7073365231259965,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,0.9,10:1,10,1,uaat_monotone,0.7344497607655502,4.220893141945773,0.3955342902711323,0.5385450597176982,0.2655502392344497,1254
1,0.9,10:1,10,1,fixed,0.8915470494417863,5.355661881977671,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
1,0.9,10:1,10,1,uncertainty_grid,0.8915470494417863,5.355661881977671,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
2,0.6,10:1,10,1,uaat_monotone,0.5023923444976076,2.9138755980861246,0.2416267942583732,0.4809523809523809,0.4976076555023924,1254
2,0.6,10:1,10,1,fixed,0.6172248803827751,3.516746411483254,0.3133971291866029,0.5077519379844961,0.3827751196172249,1254
2,0.6,10:1,10,1,uncertainty_grid,0.6172248803827751,3.516746411483254,0.3133971291866029,0.5077519379844961,0.3827751196172249,1254
2,0.7,10:1,10,1,uaat_monotone,0.562200956937799,3.236842105263158,0.2799043062200957,0.4978723404255319,0.4377990430622009,1254
2,0.7,10:1,10,1,fixed,0.7073365231259968,4.048644338118023,0.3755980861244019,0.5310033821871477,0.2926634768740032,1254
2,0.7,10:1,10,1,uncertainty_grid,0.7073365231259968,4.048644338118023,0.3755980861244019,0.5310033821871477,0.2926634768740032,1254
2,0.8,10:1,10,1,uaat_monotone,0.6666666666666666,3.7783094098883576,0.3444976076555024,0.5167464114832536,0.3333333333333333,1254
2,0.8,10:1,10,1,fixed,0.817384370015949,4.728070175438596,0.4545454545454545,0.5560975609756098,0.182615629984051,1254
2,0.8,10:1,10,1,uncertainty_grid,0.817384370015949,4.728070175438596,0.4545454545454545,0.5560975609756098,0.182615629984051,1254
2,0.9,10:1,10,1,uaat_monotone,0.7543859649122807,4.304625199362041,0.4059011164274322,0.5380549682875264,0.2456140350877192,1254
2,0.9,10:1,10,1,fixed,0.9226475279106858,5.635566188197768,0.5558213716108453,0.6024200518582541,0.0773524720893141,1254
2,0.9,10:1,10,1,uncertainty_grid,0.9226475279106858,5.635566188197768,0.5558213716108453,0.6024200518582541,0.0773524720893141,1254
3,0.6,10:1,10,1,uaat_monotone,0.4481658692185008,2.67304625199362,0.2121212121212121,0.4733096085409252,0.5518341307814991,1254
3,0.6,10:1,10,1,fixed,0.5606060606060606,3.222488038277512,0.2783094098883573,0.4964438122332859,0.4393939393939394,1254
3,0.6,10:1,10,1,uncertainty_grid,0.5606060606060606,3.222488038277512,0.2783094098883573,0.4964438122332859,0.4393939393939394,1254
3,0.7,10:1,10,1,uaat_monotone,0.5406698564593302,3.1387559808612444,0.2679425837320574,0.495575221238938,0.4593301435406698,1254
3,0.7,10:1,10,1,fixed,0.6842105263157895,3.888357256778309,0.3572567783094099,0.5221445221445221,0.3157894736842105,1254
3,0.7,10:1,10,1,uncertainty_grid,0.6842105263157895,3.888357256778309,0.3572567783094099,0.5221445221445221,0.3157894736842105,1254
3,0.8,10:1,10,1,uaat_monotone,0.5996810207336523,3.4625199362041466,0.3062200956937799,0.5106382978723404,0.4003189792663477,1254
3,0.8,10:1,10,1,fixed,0.7807017543859649,4.445773524720893,0.4226475279106858,0.5413687436159347,0.2192982456140351,1254
3,0.8,10:1,10,1,uncertainty_grid,0.7807017543859649,4.445773524720893,0.4226475279106858,0.5413687436159347,0.2192982456140351,1254
3,0.9,10:1,10,1,uaat_monotone,0.6834130781499203,3.960925039872408,0.3644338118022328,0.5332555425904317,0.3165869218500797,1254
3,0.9,10:1,10,1,fixed,0.9106858054226477,5.527910685805423,0.543859649122807,0.5971978984238179,0.0893141945773524,1254
3,0.9,10:1,10,1,uncertainty_grid,0.9106858054226477,5.527910685805423,0.543859649122807,0.5971978984238179,0.0893141945773524,1254
