uaat_target,baseline,baseline_target,cost_ratio,c_wrong_mean,c_wrong_std,c_defer_mean,c_defer_std,uaat_coverage_mean,uaat_coverage_std,baseline_coverage_mean,baseline_coverage_std,coverage_gap_mean,coverage_gap_std,uaat_risk_mean,uaat_risk_std,baseline_risk_mean,baseline_risk_std,risk_delta_baseline_minus_uaat_mean,risk_delta_baseline_minus_uaat_std,risk_reduction_pct_mean,risk_reduction_pct_std,uaat_wrong_auto_rate_mean,uaat_wrong_auto_rate_std,baseline_wrong_auto_rate_mean,baseline_wrong_auto_rate_std,wrong_auto_delta_mean,wrong_auto_delta_std,uaat_auto_error_rate_mean,uaat_auto_error_rate_std,baseline_auto_error_rate_mean,baseline_auto_error_rate_std,uaat_defer_rate_mean,uaat_defer_rate_std,baseline_defer_rate_mean,baseline_defer_rate_std,n_mean,n_std
0.6,fixed,0.42,10:1,10.0,0.0,1.0,0.0,0.4340579710144927,0.02152064116654713,0.43369565217391304,0.025107414694304955,0.0025362318840579,0.000512396218251107,2.7144927536231886,0.15781803522134522,2.7438405797101453,0.14398333732856525,0.02934782608695635,0.013834697892779819,1.0843114486107568,0.5611086087644235,0.21485507246376806,0.01793386763878922,0.21775362318840574,0.016909075202287027,0.00289855072463765,0.0010247924365021435,0.4945752874204711,0.016795660568868977,0.5018008847825235,0.009938195765805607,0.5659420289855073,0.02152064116654713,0.566304347826087,0.025107414694304934,1380.0,0.0
0.6,fixed,0.43,10:1,10.0,,1.0,,0.4804347826086956,,0.4753623188405797,,0.0050724637681158,,2.9615942028985502,,2.988405797101449,,0.0268115942028988,,0.8971871968962257,,0.2442028985507246,,0.2463768115942029,,0.0021739130434783,,0.5082956259426847,,0.5182926829268293,,0.5195652173913043,,0.5246376811594202,,1380.0,
0.6,uncertainty_grid,0.42,10:1,10.0,0.0,1.0,0.0,0.4340579710144927,0.02152064116654713,0.43369565217391304,0.025107414694304955,0.0025362318840579,0.000512396218251107,2.7144927536231886,0.15781803522134522,2.7438405797101453,0.14398333732856525,0.02934782608695635,0.013834697892779819,1.0843114486107568,0.5611086087644235,0.21485507246376806,0.01793386763878922,0.21775362318840574,0.016909075202287027,0.00289855072463765,0.0010247924365021435,0.4945752874204711,0.016795660568868977,0.5018008847825235,0.009938195765805607,0.5659420289855073,0.02152064116654713,0.566304347826087,0.025107414694304934,1380.0,0.0
0.6,uncertainty_grid,0.43,10:1,10.0,,1.0,,0.4804347826086956,,0.4753623188405797,,0.0050724637681158,,2.9615942028985502,,2.988405797101449,,0.0268115942028988,,0.8971871968962257,,0.2442028985507246,,0.2463768115942029,,0.0021739130434783,,0.5082956259426847,,0.5182926829268293,,0.5195652173913043,,0.5246376811594202,,1380.0,
0.7,fixed,0.47,10:1,10.0,,1.0,,0.463768115942029,,0.4608695652173913,,0.0028985507246376,,2.8768115942028984,,2.908695652173913,,0.0318840579710144,,1.0961634280019918,,0.2340579710144927,,0.2369565217391304,,0.0028985507246377,,0.5046875,,0.5141509433962265,,0.536231884057971,,0.5391304347826087,,1380.0,
0.7,fixed,0.49,10:1,10.0,0.0,1.0,0.0,0.5115942028985507,0.027669395785560554,0.511231884057971,0.023057829821300526,0.00326086956521735,0.0005123962182511777,3.1949275362318845,0.1721651293323769,3.2278985507246376,0.14090896001905853,0.03297101449275325,0.03125616931331817,1.0435684341703837,1.013868627737634,0.2706521739130435,0.019983452511793755,0.27391304347826084,0.016396678984035896,0.0032608695652173,0.003586773527757891,0.528753865225926,0.0104636692741691,0.5356117162486123,0.007915459318303874,0.48840579710144927,0.027669395785560554,0.48876811594202896,0.023057829821300425,1380.0,0.0
0.7,uncertainty_grid,0.47,10:1,10.0,,1.0,,0.463768115942029,,0.4608695652173913,,0.0028985507246376,,2.8768115942028984,,2.908695652173913,,0.0318840579710144,,1.0961634280019918,,0.2340579710144927,,0.2369565217391304,,0.0028985507246377,,0.5046875,,0.5141509433962265,,0.536231884057971,,0.5391304347826087,,1380.0,
0.7,uncertainty_grid,0.49,10:1,10.0,0.0,1.0,0.0,0.5115942028985507,0.027669395785560554,0.511231884057971,0.023057829821300526,0.00326086956521735,0.0005123962182511777,3.1949275362318845,0.1721651293323769,3.2278985507246376,0.14090896001905853,0.03297101449275325,0.03125616931331817,1.0435684341703837,1.013868627737634,0.2706521739130435,0.019983452511793755,0.27391304347826084,0.016396678984035896,0.0032608695652173,0.003586773527757891,0.528753865225926,0.0104636692741691,0.5356117162486123,0.007915459318303874,0.48840579710144927,0.027669395785560554,0.48876811594202896,0.023057829821300425,1380.0,0.0
0.8,fixed,0.53,10:1,10.0,,1.0,,0.5478260869565217,,0.5442028985507247,,0.003623188405797,,3.459420289855073,,3.470289855072464,,0.0108695652173911,,0.3132177907705107,,0.3007246376811594,,0.3014492753623188,,0.0007246376811593,,0.548941798941799,,0.5539280958721704,,0.4521739130434783,,0.4557971014492753,,1380.0,
0.8,fixed,0.54,10:1,10.0,,1.0,,0.55,,0.5463768115942029,,0.0036231884057971,,3.45,,3.4971014492753625,,0.0471014492753623,,1.3468711147948609,,0.3,,0.3043478260869565,,0.0043478260869564,,0.5454545454545454,,0.5570291777188329,,0.4499999999999999,,0.4536231884057971,,1380.0,
0.8,fixed,0.57,10:1,10.0,,1.0,,0.5963768115942029,,0.6,,0.0036231884057971,,3.8021739130434784,,3.914492753623189,,0.1123188405797104,,2.8693076638282187,,0.3398550724637681,,0.3514492753623188,,0.0115942028985506,,0.5698663426488457,,0.5857487922705314,,0.4036231884057971,,0.4,,1380.0,
0.8,uncertainty_grid,0.53,10:1,10.0,,1.0,,0.5478260869565217,,0.5442028985507247,,0.003623188405797,,3.459420289855073,,3.470289855072464,,0.0108695652173911,,0.3132177907705107,,0.3007246376811594,,0.3014492753623188,,0.0007246376811593,,0.548941798941799,,0.5539280958721704,,0.4521739130434783,,0.4557971014492753,,1380.0,
0.8,uncertainty_grid,0.54,10:1,10.0,,1.0,,0.55,,0.5463768115942029,,0.0036231884057971,,3.45,,3.4971014492753625,,0.0471014492753623,,1.3468711147948609,,0.3,,0.3043478260869565,,0.0043478260869564,,0.5454545454545454,,0.5570291777188329,,0.4499999999999999,,0.4536231884057971,,1380.0,
