seed,cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,2:1,2,1,0.6,uaat_monotone,0.629771052631579,0.487178947368421,0.058475,0.0928512032359295,0.370228947368421,760000
1,2:1,2,1,0.6,uncertainty_grid,0.6013907894736842,0.5098434210526316,0.0556171052631578,0.0924808065514804,0.3986092105263158,760000
1,2:1,2,1,0.6,fixed,0.6013118421052631,0.5103486842105264,0.0558302631578947,0.0928474366352514,0.3986881578947369,760000
1,2:1,2,1,0.7,uaat_monotone,0.7097052631578947,0.4736210526315789,0.0916631578947368,0.1291566550977425,0.2902947368421052,760000
1,2:1,2,1,0.7,uncertainty_grid,0.7015447368421053,0.4908578947368421,0.0962013157894736,0.1371278419427804,0.2984552631578947,760000
1,2:1,2,1,0.7,fixed,0.701446052631579,0.4910881578947368,0.0962671052631578,0.1372409252315236,0.298553947368421,760000
1,2:1,2,1,0.8,uaat_monotone,0.7998355263157895,0.4764171052631579,0.1381263157894736,0.1726933991363356,0.2001644736842105,760000
1,2:1,2,1,0.8,uncertainty_grid,0.8007578947368421,0.4940078947368421,0.1473828947368421,0.1840542512356714,0.1992421052631579,760000
1,2:1,2,1,0.8,fixed,0.8009736842105263,0.4941631578947368,0.1475684210526315,0.1842362913559155,0.1990263157894737,760000
1,2:1,2,1,0.9,uaat_monotone,0.8923934210526315,0.4984828947368421,0.1954381578947368,0.2190044808535296,0.1076065789473684,760000
1,2:1,2,1,0.9,fixed,0.9004947368421052,0.5142789473684211,0.2073868421052631,0.2303032251277075,0.0995052631578947,760000
1,2:1,2,1,0.9,uncertainty_grid,0.9005776315789473,0.5143513157894737,0.2074644736842105,0.2303682285784416,0.0994223684210526,760000
1,5:1,5,1,0.6,uaat_monotone,0.6149368421052631,0.6473065789473684,0.0524486842105263,0.0852911723925435,0.3850631578947369,760000
1,5:1,5,1,0.6,uncertainty_grid,0.6013907894736842,0.6766947368421052,0.0556171052631578,0.0924808065514804,0.3986092105263158,760000
1,5:1,5,1,0.6,fixed,0.6013118421052631,0.6778394736842106,0.0558302631578947,0.0928474366352514,0.3986881578947369,760000
1,5:1,5,1,0.7,uaat_monotone,0.6842276315789474,0.7136868421052631,0.0795828947368421,0.1163105537746171,0.3157723684210526,760000
1,5:1,5,1,0.7,uncertainty_grid,0.7015447368421053,0.7794618421052631,0.0962013157894736,0.1371278419427804,0.2984552631578947,760000
1,5:1,5,1,0.7,fixed,0.701446052631579,0.7798894736842105,0.0962671052631578,0.1372409252315236,0.298553947368421,760000
1,5:1,5,1,0.8,uaat_monotone,0.7635657894736843,0.8281513157894737,0.1183434210526315,0.1549878513208457,0.2364342105263157,760000
1,5:1,5,1,0.8,uncertainty_grid,0.8007578947368421,0.9361565789473684,0.1473828947368421,0.1840542512356714,0.1992421052631579,760000
1,5:1,5,1,0.8,fixed,0.8009736842105263,0.9368684210526316,0.1475684210526315,0.1842362913559155,0.1990263157894737,760000
1,5:1,5,1,0.9,uaat_monotone,0.8504894736842106,0.9902210526315788,0.1681421052631579,0.1977003954379212,0.1495105263157894,760000
1,5:1,5,1,0.9,fixed,0.9004947368421052,1.1364394736842105,0.2073868421052631,0.2303032251277075,0.0995052631578947,760000
1,5:1,5,1,0.9,uncertainty_grid,0.9005776315789473,1.1367447368421053,0.2074644736842105,0.2303682285784416,0.0994223684210526,760000
1,10:1,10,1,0.6,uaat_monotone,0.5968381578947368,0.8655302631578947,0.0462368421052631,0.077469648167867,0.4031618421052632,760000
1,10:1,10,1,0.6,uncertainty_grid,0.6013907894736842,0.9547802631578948,0.0556171052631578,0.0924808065514804,0.3986092105263158,760000
1,10:1,10,1,0.6,fixed,0.6013118421052631,0.9569907894736842,0.0558302631578947,0.0928474366352514,0.3986881578947369,760000
1,10:1,10,1,0.7,uaat_monotone,0.6520605263157895,1.0077552631578948,0.0659815789473684,0.1011893471303519,0.3479394736842105,760000
1,10:1,10,1,0.7,uncertainty_grid,0.7015447368421053,1.2604684210526316,0.0962013157894736,0.1371278419427804,0.2984552631578947,760000
1,10:1,10,1,0.7,fixed,0.701446052631579,1.261225,0.0962671052631578,0.1372409252315236,0.298553947368421,760000
1,10:1,10,1,0.8,uaat_monotone,0.716225,1.2245644736842105,0.094078947368421,0.1313539004759971,0.283775,760000
1,10:1,10,1,0.8,uncertainty_grid,0.8007578947368421,1.6730710526315788,0.1473828947368421,0.1840542512356714,0.1992421052631579,760000
1,10:1,10,1,0.8,fixed,0.8009736842105263,1.674710526315789,0.1475684210526315,0.1842362913559155,0.1990263157894737,760000
1,10:1,10,1,0.9,uaat_monotone,0.7913157894736842,1.538013157894737,0.1329328947368421,0.1679896907216495,0.2086842105263158,760000
1,10:1,10,1,0.9,fixed,0.9004947368421052,2.1733736842105262,0.2073868421052631,0.2303032251277075,0.0995052631578947,760000
1,10:1,10,1,0.9,uncertainty_grid,0.9005776315789473,2.174067105263158,0.2074644736842105,0.2303682285784416,0.0994223684210526,760000
1,20:1,20,1,0.6,uaat_monotone,0.5728868421052632,1.20485,0.0388868421052631,0.0678787489032922,0.4271131578947368,760000
1,20:1,20,1,0.6,uncertainty_grid,0.6013907894736842,1.5109513157894736,0.0556171052631578,0.0924808065514804,0.3986092105263158,760000
1,20:1,20,1,0.6,fixed,0.6013118421052631,1.5152934210526317,0.0558302631578947,0.0928474366352514,0.3986881578947369,760000
1,20:1,20,1,0.7,uaat_monotone,0.6144526315789474,1.4254421052631578,0.0519947368421052,0.0846196015281037,0.3855473684210526,760000
1,20:1,20,1,0.7,uncertainty_grid,0.7015447368421053,2.2224815789473684,0.0962013157894736,0.1371278419427804,0.2984552631578947,760000
1,20:1,20,1,0.7,fixed,0.701446052631579,2.223896052631579,0.0962671052631578,0.1372409252315236,0.298553947368421,760000
1,20:1,20,1,0.8,uaat_monotone,0.6568039473684211,1.6969065789473683,0.0676855263157894,0.1030528616446067,0.3431960526315789,760000
1,20:1,20,1,0.8,uncertainty_grid,0.8007578947368421,3.1469,0.1473828947368421,0.1840542512356714,0.1992421052631579,760000
1,20:1,20,1,0.8,fixed,0.8009736842105263,3.150394736842105,0.1475684210526315,0.1842362913559155,0.1990263157894737,760000
1,20:1,20,1,0.9,uaat_monotone,0.708321052631579,2.094521052631579,0.0901421052631579,0.1272616491183748,0.291678947368421,760000
1,20:1,20,1,0.9,fixed,0.9004947368421052,4.247242105263158,0.2073868421052631,0.2303032251277075,0.0995052631578947,760000
1,20:1,20,1,0.9,uncertainty_grid,0.9005776315789473,4.248711842105263,0.2074644736842105,0.2303682285784416,0.0994223684210526,760000
2,2:1,2,1,0.6,uaat_monotone,0.6276407894736842,0.4879907894736842,0.0578157894736842,0.0921160486114459,0.3723592105263158,760000
2,2:1,2,1,0.6,uncertainty_grid,0.597596052631579,0.5109486842105263,0.0542723684210526,0.0908178161185275,0.402403947368421,760000
2,2:1,2,1,0.6,fixed,0.597978947368421,0.5113,0.0546394736842105,0.0913735741444866,0.4020210526315789,760000
2,2:1,2,1,0.7,uaat_monotone,0.7075381578947368,0.4740092105263158,0.0907736842105263,0.1282951077587409,0.2924618421052631,760000
2,2:1,2,1,0.7,uncertainty_grid,0.6997789473684211,0.4914578947368421,0.0956184210526315,0.1366408941169392,0.3002210526315789,760000
2,2:1,2,1,0.7,fixed,0.6997907894736842,0.4916671052631579,0.095728947368421,0.1367965237730825,0.3002092105263158,760000
2,2:1,2,1,0.8,uaat_monotone,0.7985092105263157,0.4763039473684211,0.1374065789473684,0.1720788904323352,0.2014907894736842,760000
2,2:1,2,1,0.8,fixed,0.7995631578947369,0.4942052631578947,0.1468842105263157,0.1837055760711441,0.2004368421052631,760000
2,2:1,2,1,0.8,uncertainty_grid,0.7995631578947369,0.4942052631578947,0.1468842105263157,0.1837055760711441,0.2004368421052631,760000
2,2:1,2,1,0.9,uaat_monotone,0.8914052631578947,0.4984526315789474,0.194928947368421,0.2186760112654767,0.1085947368421053,760000
2,2:1,2,1,0.9,fixed,0.8991986842105263,0.5144592105263158,0.206828947368421,0.2300147353418467,0.1008013157894737,760000
2,2:1,2,1,0.9,uncertainty_grid,0.8992355263157895,0.5147618421052631,0.2069986842105263,0.230194068353382,0.1007644736842104,760000
2,5:1,5,1,0.6,uaat_monotone,0.613096052631579,0.647153947368421,0.05205,0.0848969745875657,0.386903947368421,760000
2,5:1,5,1,0.6,uncertainty_grid,0.597596052631579,0.6737657894736842,0.0542723684210526,0.0908178161185275,0.402403947368421,760000
2,5:1,5,1,0.6,fixed,0.597978947368421,0.6752184210526315,0.0546394736842105,0.0913735741444866,0.4020210526315789,760000
2,5:1,5,1,0.7,uaat_monotone,0.6813947368421053,0.7114342105263158,0.0785657894736842,0.115301432819681,0.3186052631578947,760000
2,5:1,5,1,0.7,uncertainty_grid,0.6997789473684211,0.7783131578947369,0.0956184210526315,0.1366408941169392,0.3002210526315789,760000
2,5:1,5,1,0.7,fixed,0.6997907894736842,0.7788539473684211,0.095728947368421,0.1367965237730825,0.3002092105263158,760000
2,5:1,5,1,0.8,uaat_monotone,0.7630381578947368,0.8268697368421053,0.1179815789473684,0.1546208111962394,0.2369618421052631,760000
2,5:1,5,1,0.8,fixed,0.7995631578947369,0.934857894736842,0.1468842105263157,0.1837055760711441,0.2004368421052631,760000
2,5:1,5,1,0.8,uncertainty_grid,0.7995631578947369,0.934857894736842,0.1468842105263157,0.1837055760711441,0.2004368421052631,760000
2,5:1,5,1,0.9,uaat_monotone,0.8486552631578947,0.986167105263158,0.1669644736842105,0.1967400438464567,0.1513447368421052,760000
2,5:1,5,1,0.9,fixed,0.8991986842105263,1.1349460526315789,0.206828947368421,0.2300147353418467,0.1008013157894737,760000
2,5:1,5,1,0.9,uncertainty_grid,0.8992355263157895,1.135757894736842,0.2069986842105263,0.230194068353382,0.1007644736842104,760000
2,10:1,10,1,0.6,uaat_monotone,0.595328947368421,0.8636842105263158,0.0459013157894736,0.0771024422588131,0.404671052631579,760000
2,10:1,10,1,0.6,uncertainty_grid,0.597596052631579,0.9451276315789472,0.0542723684210526,0.0908178161185275,0.402403947368421,760000
2,10:1,10,1,0.6,fixed,0.597978947368421,0.9484157894736842,0.0546394736842105,0.0913735741444866,0.4020210526315789,760000
2,10:1,10,1,0.7,uaat_monotone,0.6505973684210526,1.0032447368421054,0.0653842105263158,0.1004987319346187,0.3494026315789473,760000
2,10:1,10,1,0.7,uncertainty_grid,0.6997789473684211,1.2564052631578946,0.0956184210526315,0.1366408941169392,0.3002210526315789,760000
2,10:1,10,1,0.7,fixed,0.6997907894736842,1.2574986842105265,0.095728947368421,0.1367965237730825,0.3002092105263158,760000
2,10:1,10,1,0.8,uaat_monotone,0.71405,1.2174236842105264,0.0931473684210526,0.1304493640796199,0.28595,760000
2,10:1,10,1,0.8,fixed,0.7995631578947369,1.6692789473684209,0.1468842105263157,0.1837055760711441,0.2004368421052631,760000
2,10:1,10,1,0.8,uncertainty_grid,0.7995631578947369,1.6692789473684209,0.1468842105263157,0.1837055760711441,0.2004368421052631,760000
2,10:1,10,1,0.9,uaat_monotone,0.7891828947368421,1.5301855263157895,0.1319368421052631,0.1671815785480985,0.2108171052631579,760000
2,10:1,10,1,0.9,fixed,0.8991986842105263,2.1690907894736844,0.206828947368421,0.2300147353418467,0.1008013157894737,760000
2,10:1,10,1,0.9,uncertainty_grid,0.8992355263157895,2.1707513157894733,0.2069986842105263,0.230194068353382,0.1007644736842104,760000
2,20:1,20,1,0.6,uaat_monotone,0.5722276315789474,1.205061842105263,0.0388644736842105,0.0679178556564488,0.4277723684210526,760000
2,20:1,20,1,0.6,uncertainty_grid,0.597596052631579,1.4878513157894735,0.0542723684210526,0.0908178161185275,0.402403947368421,760000
2,20:1,20,1,0.6,fixed,0.597978947368421,1.4948105263157894,0.0546394736842105,0.0913735741444866,0.4020210526315789,760000
2,20:1,20,1,0.7,uaat_monotone,0.6121684210526316,1.4180947368421055,0.0515131578947368,0.0841486690969117,0.3878315789473684,760000
