cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
10:1,10,1,0.9,uaat_monotone,0.6497584541062802,0.01840826945242288,4.219806763285024,0.16362269632750562,0.3869565217391304,0.018202690850841256,0.5953319652795123,0.010978004704647368,0.35024154589371975,0.018408269452422892,1380.0,0.0
10:1,10,1,0.9,uncertainty_grid,0.9214975845410628,0.009457377753841457,6.583333333333333,0.08511639978457268,0.6504830917874397,0.009457377753841529,0.7058770857252625,0.0030234521352680782,0.07850241545893717,0.009457377753841489,1380.0,0.0
20:1,20,1,0.6,fixed,0.6169082125603865,0.011257178935005916,7.730917874396135,0.16454435335313608,0.3673913043478261,0.008785764965929074,0.5954964481166883,0.0036833819546106435,0.38309178743961353,0.011257178935005885,1380.0,0.0
20:1,20,1,0.6,uaat_monotone,0.3326086956521739,0.03931117678266332,3.517632850241546,0.5339435767861678,0.14251207729468593,0.028660618833229356,0.4256003348217798,0.036419536943368344,0.667391304347826,0.039311176782663305,1380.0,0.0
20:1,20,1,0.6,uncertainty_grid,0.6169082125603865,0.011257178935005916,7.730917874396135,0.16454435335313608,0.3673913043478261,0.008785764965929074,0.5954964481166883,0.0036833819546106435,0.38309178743961353,0.011257178935005885,1380.0,0.0
20:1,20,1,0.7,fixed,0.7094202898550724,0.013882060913527608,9.3243961352657,0.21907600031916752,0.4516908212560386,0.011646921208928653,0.6366522325500868,0.004061848501506699,0.2905797101449275,0.01388206091352757,1380.0,0.0
20:1,20,1,0.7,uaat_monotone,0.39106280193236714,0.019367402208117026,4.280434782608695,0.18678370846841064,0.1835748792270531,0.010307530576498468,0.4693198393796602,0.003208927907965986,0.6089371980676329,0.019367402208117012,1380.0,0.0
20:1,20,1,0.7,uncertainty_grid,0.7094202898550724,0.013882060913527608,9.3243961352657,0.21907600031916752,0.4516908212560386,0.011646921208928653,0.6366522325500868,0.004061848501506699,0.2905797101449275,0.01388206091352757,1380.0,0.0
20:1,20,1,0.8,fixed,0.8181159420289855,0.018882339450428057,11.138405797101449,0.3457509049890923,0.5478260869565217,0.018231515399143666,0.6695126561811641,0.006931391589944605,0.18188405797101445,0.01888233945042805,1380.0,0.0
20:1,20,1,0.8,uaat_monotone,0.4526570048309178,0.03224705530415762,5.093236714975846,0.4133486879816996,0.2272946859903381,0.022268121051199567,0.5014978403175094,0.014784711617655615,0.5473429951690821,0.032247055304157585,1380.0,0.0
20:1,20,1,0.8,uncertainty_grid,0.8181159420289855,0.018882339450428057,11.138405797101449,0.3457509049890923,0.5478260869565217,0.018231515399143666,0.6695126561811641,0.006931391589944605,0.18188405797101445,0.01888233945042805,1380.0,0.0
20:1,20,1,0.9,fixed,0.9214975845410628,0.009457377753841457,13.08816425120773,0.17969017732298762,0.6504830917874397,0.009457377753841529,0.7058770857252625,0.0030234521352680782,0.07850241545893717,0.009457377753841489,1380.0,0.0
20:1,20,1,0.9,uaat_monotone,0.4879227053140096,0.03177132023051523,5.565217391304349,0.41879356338088436,0.25265700483091785,0.02252601629378602,0.5172855811430778,0.012671421216582773,0.5120772946859903,0.03177132023051521,1380.0,0.0
20:1,20,1,0.9,uncertainty_grid,0.9214975845410628,0.009457377753841457,13.08816425120773,0.17969017732298762,0.6504830917874397,0.009457377753841529,0.7058770857252625,0.0030234521352680782,0.07850241545893717,0.009457377753841489,1380.0,0.0
2:1,2,1,0.6,fixed,0.6169082125603865,0.011257178935005916,1.1178743961352657,0.006535144569308508,0.3673913043478261,0.008785764965929074,0.5954964481166883,0.0036833819546106435,0.38309178743961353,0.011257178935005885,1380.0,0.0
2:1,2,1,0.6,uaat_monotone,0.5615942028985508,0.0225337852253133,1.0611111111111111,0.019367402208117186,0.3113526570048309,0.020830445084396545,0.554022682929785,0.014832301327965041,0.4384057971014492,0.0225337852253133,1380.0,0.0
