uaat_target,baseline,baseline_target,cost_ratio,c_wrong_mean,c_wrong_std,c_defer_mean,c_defer_std,uaat_coverage_mean,uaat_coverage_std,baseline_coverage_mean,baseline_coverage_std,coverage_gap_mean,coverage_gap_std,uaat_risk_mean,uaat_risk_std,baseline_risk_mean,baseline_risk_std,risk_delta_baseline_minus_uaat_mean,risk_delta_baseline_minus_uaat_std,risk_reduction_pct_mean,risk_reduction_pct_std,uaat_wrong_auto_rate_mean,uaat_wrong_auto_rate_std,baseline_wrong_auto_rate_mean,baseline_wrong_auto_rate_std,wrong_auto_delta_mean,wrong_auto_delta_std,uaat_auto_error_rate_mean,uaat_auto_error_rate_std,baseline_auto_error_rate_mean,baseline_auto_error_rate_std,uaat_defer_rate_mean,uaat_defer_rate_std,baseline_defer_rate_mean,baseline_defer_rate_std,n_mean,n_std
0.6,fixed,0.6,5:1,5.0,,1.0,,0.4012058610455469,,0.4027248720525344,,0.0015190110069874,,0.7753499567666099,,0.7740646397606973,,-0.0012853170059126,,-0.1660477613742915,,0.0353111635624313,,0.0353579023626463,,4.673880021499599e-05,,0.0880125815470643,,0.087796669181222,,0.5987941389544531,,0.5972751279474655,,42791.0,
0.6,fixed,0.61,5:1,5.0,,1.0,,0.4436446916407656,,0.4435278446402281,,0.0001168470005374,,0.8652987777803745,,0.8671683297889743,,0.0018695520085998,,0.215592745304109,,0.0617886938842279,,0.0621392348858404,,0.0003505410016125,,0.1392751790981879,,0.1401022182412139,,0.5563553083592344,,0.5564721553597719,,42791.0,
0.6,fixed,0.62,5:1,5.0,,1.0,,0.443995232642378,,0.4463088032530204,,0.0023135706106424,,0.8763992428314366,,0.8820312682573439,,0.0056320254259073,,0.6385289987547397,,0.0640788950947629,,0.0656680143020728,,0.0015891192073098,,0.144323385441339,,0.1471358257409152,,0.5560047673576219,,0.5536911967469795,,42791.0,
0.6,uncertainty_grid,0.6,5:1,5.0,,1.0,,0.4012058610455469,,0.4027248720525344,,0.0015190110069874,,0.7753499567666099,,0.7740646397606973,,-0.0012853170059126,,-0.1660477613742915,,0.0353111635624313,,0.0353579023626463,,4.673880021499599e-05,,0.0880125815470643,,0.087796669181222,,0.5987941389544531,,0.5972751279474655,,42791.0,
0.6,uncertainty_grid,0.61,5:1,5.0,,1.0,,0.4436446916407656,,0.4433408894393681,,0.0003038022013974,,0.8652987777803745,,0.8671215909887593,,0.0018228132083848,,0.2102142568386897,,0.0617886938842279,,0.0620924960856254,,0.0003038022013975,,0.1392751790981879,,0.1400558747562068,,0.5563553083592344,,0.5566591105606319,,42791.0,
0.6,uncertainty_grid,0.62,5:1,5.0,,1.0,,0.443995232642378,,0.4463088032530204,,0.0023135706106424,,0.8763992428314366,,0.8819144212568064,,0.0055151784253698,,0.6253643542318132,,0.0640788950947629,,0.0656446449019653,,0.0015657498072023,,0.144323385441339,,0.1470834642370929,,0.5560047673576219,,0.5536911967469795,,42791.0,
0.7,fixed,0.67,5:1,5.0,,1.0,,0.4906405552569465,,0.4957350844803814,,0.0050945292234348,,0.9572339978032764,,0.967095884648641,,0.0098618868453645,,1.0197424063020963,,0.0895749106120445,,0.0925661938258044,,0.0029912832137598,,0.182567277923315,,0.1867251213878282,,0.5093594447430534,,0.5042649155196186,,42791.0,
0.7,fixed,0.68,5:1,5.0,,1.0,,0.5209740365964806,,0.5206702343950831,,0.0003038022013974,,1.042228505994251,,1.0418312261924236,,-0.0003972798018274,,-0.0381328368587494,,0.1126405085181463,,0.1125002921175013,,-0.000140216400645,,0.2162113667967523,,0.2160682226211849,,0.4790259634035194,,0.4793297656049169,,42791.0,
0.7,fixed,0.69,5:1,5.0,,1.0,,0.4942861816737164,,0.4931410810684489,,0.0011451006052675,,0.8980860461311957,,0.894206725713351,,-0.0038793204178446,,-0.4338281413338677,,0.0784744455609824,,0.0774695613563599,,-0.0010048842046224,,0.158763179045908,,0.1570941143019619,,0.5057138183262835,,0.5068589189315511,,42791.0,
0.7,uncertainty_grid,0.67,5:1,5.0,,1.0,,0.4906405552569465,,0.4957350844803814,,0.0050945292234348,,0.9572339978032764,,0.967095884648641,,0.0098618868453645,,1.0197424063020963,,0.0895749106120445,,0.0925661938258044,,0.0029912832137598,,0.182567277923315,,0.1867251213878282,,0.5093594447430534,,0.5042649155196186,,42791.0,
