seed,uaat_target,baseline,baseline_target,cost_ratio,c_wrong,c_defer,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
1,0.6,fixed,0.61,5:1,5,1,0.6149368421052631,0.6114236842105263,0.0035131578947368,0.6473065789473684,0.6852868421052631,0.0379802631578947,5.542243163638734,0.0524486842105263,0.0593421052631579,0.0068934210526315,0.0852911723925435,0.0970556208331719,0.3850631578947369,0.3885763157894737,760000
1,0.6,uncertainty_grid,0.61,5:1,5,1,0.6149368421052631,0.6114565789473684,0.0034802631578947,0.6473065789473684,0.6841881578947369,0.0368815789473684,5.390560845258404,0.0524486842105263,0.059128947368421,0.0066802631578947,0.0852911723925435,0.0967017927425237,0.3850631578947369,0.3885434210526316,760000
1,0.7,fixed,0.68,5:1,5,1,0.6842276315789474,0.6814644736842105,0.0027631578947369,0.7136868421052631,0.7546868421052633,0.0410000000000001,5.43271695126248,0.0795828947368421,0.0872302631578947,0.0076473684210525,0.1163105537746171,0.1280041242448056,0.3157723684210526,0.3185355263157895,760000
1,0.7,uncertainty_grid,0.68,5:1,5,1,0.6842276315789474,0.6812052631578948,0.0030223684210526,0.7136868421052631,0.7538605263157895,0.0401736842105263,5.3290605898759775,0.0795828947368421,0.0870131578947368,0.0074302631578947,0.1163105537746171,0.1277341245006915,0.3157723684210526,0.3187947368421052,760000
1,0.8,fixed,0.76,5:1,5,1,0.7635657894736843,0.7618565789473685,0.0017092105263157,0.8281513157894737,0.869728947368421,0.0415776315789473,4.780527508570423,0.1183434210526315,0.1263171052631579,0.0079736842105263,0.1549878513208457,0.165801685978332,0.2364342105263157,0.2381434210526315,760000
1,0.8,uncertainty_grid,0.76,5:1,5,1,0.7635657894736843,0.7617447368421053,0.0018210526315789,0.8281513157894737,0.8700644736842105,0.0419131578947368,4.817247360676536,0.1183434210526315,0.1263618421052631,0.0080184210526316,0.1549878513208457,0.1658847590192874,0.2364342105263157,0.2382552631578947,760000
1,0.9,fixed,0.85,5:1,5,1,0.8504894736842106,0.8508236842105263,0.0003342105263157,0.9902210526315788,1.032696052631579,0.0424750000000001,4.113020466357238,0.1681421052631579,0.176703947368421,0.008561842105263,0.1977003954379212,0.2076857410620668,0.1495105263157894,0.1491763157894736,760000
1,0.9,uncertainty_grid,0.85,5:1,5,1,0.8504894736842106,0.8505934210526316,0.000103947368421,0.9902210526315788,1.032228947368421,0.0420078947368421,4.069629595637451,0.1681421052631579,0.1765644736842105,0.0084223684210525,0.1977003954379212,0.2075779912166583,0.1495105263157894,0.1494065789473684,760000
2,0.6,fixed,0.61,5:1,5,1,0.613096052631579,0.6078697368421052,0.0052263157894737,0.647153947368421,0.6824789473684212,0.0353250000000001,5.175983836015786,0.05205,0.0580697368421052,0.0060197368421052,0.0848969745875657,0.095529902744918,0.386903947368421,0.3921302631578948,760000
2,0.6,uncertainty_grid,0.61,5:1,5,1,0.613096052631579,0.60815,0.0049460526315789,0.647153947368421,0.6820868421052633,0.0349328947368422,5.121473187933336,0.05205,0.0580473684210526,0.0059973684210525,0.0848969745875657,0.0954490971323729,0.386903947368421,0.39185,760000
2,0.7,fixed,0.68,5:1,5,1,0.6813947368421053,0.6796605263157894,0.0017342105263158,0.7114342105263158,0.7537473684210526,0.0423131578947367,5.613705555400377,0.0785657894736842,0.0866815789473684,0.0081157894736842,0.115301432819681,0.1275365797940922,0.3186052631578947,0.3203394736842105,760000
2,0.7,uncertainty_grid,0.68,5:1,5,1,0.6813947368421053,0.6798565789473684,0.0015381578947368,0.7114342105263158,0.7532026315789474,0.0417684210526315,5.545442793405002,0.0785657894736842,0.0866118421052631,0.0080460526315788,0.115301432819681,0.1273972258080748,0.3186052631578947,0.3201434210526316,760000
2,0.8,fixed,0.76,5:1,5,1,0.7630381578947368,0.7598263157894737,0.0032118421052631,0.8268697368421053,0.8667394736842106,0.0398697368421052,4.599967816468859,0.1179815789473684,0.1253131578947368,0.0073315789473683,0.1546208111962394,0.1649234243282744,0.2369618421052631,0.2401736842105263,760000
2,0.8,uncertainty_grid,0.76,5:1,5,1,0.7630381578947368,0.7598315789473684,0.0032065789473684,0.8268697368421053,0.8667736842105263,0.0399039473684209,4.603733142263799,0.1179815789473684,0.1253210526315789,0.0073394736842104,0.1546208111962394,0.1649326720602903,0.2369618421052631,0.2401684210526316,760000
2,0.9,fixed,0.85,5:1,5,1,0.8486552631578947,0.8491,0.0004447368421052,0.986167105263158,1.0301631578947368,0.0439960526315788,4.270784903770977,0.1669644736842105,0.1758526315789473,0.0088881578947367,0.1967400438464567,0.207104736284239,0.1513447368421052,0.1509,760000
2,0.9,uncertainty_grid,0.85,5:1,5,1,0.8486552631578947,0.848603947368421,5.131578947370485e-05,0.986167105263158,1.0288105263157896,0.0426434210526316,4.144924644709787,0.1669644736842105,0.1754828947368421,0.0085184210526315,0.1967400438464567,0.2067900995287926,0.1513447368421052,0.1513960526315789,760000
3,0.6,fixed,0.61,5:1,5,1,0.6142171052631579,0.6098197368421052,0.0043973684210526,0.6476973684210527,0.6840684210526315,0.0363710526315788,5.316873504497067,0.0523828947368421,0.0587776315789473,0.0063947368421051,0.0852840050984886,0.09638525621247,0.3857828947368421,0.3901802631578948,760000
3,0.6,uncertainty_grid,0.61,5:1,5,1,0.6142171052631579,0.6098118421052632,0.0044052631578946,0.6476973684210527,0.6830565789473684,0.0353592105263156,5.1766151759794665,0.0523828947368421,0.0585736842105263,0.0061907894736841,0.0852840050984886,0.0960520609247459,0.3857828947368421,0.3901881578947368,760000
3,0.7,fixed,0.68,5:1,5,1,0.6821078947368421,0.6802934210526316,0.0018144736842105,0.7116289473684211,0.7537394736842105,0.0421105263157893,5.586880850216976,0.0787473684210526,0.0868065789473684,0.0080592105263158,0.1154470854664912,0.1276016734265206,0.3178921052631579,0.3197065789473684,760000
3,0.7,uncertainty_grid,0.68,5:1,5,1,0.6821078947368421,0.679928947368421,0.002178947368421,0.7116289473684211,0.752853947368421,0.0412249999999999,5.475829693674416,0.0787473684210526,0.0865565789473684,0.0078092105263158,0.1154470854664912,0.1273023884074574,0.3178921052631579,0.320071052631579,760000
3,0.8,fixed,0.76,5:1,5,1,0.7645907894736842,0.7605065789473684,0.0040842105263158,0.8280276315789473,0.8669736842105263,0.038946052631579,4.492183942935204,0.1185236842105263,0.1254960526315789,0.0069723684210526,0.1550158409469117,0.165016393158992,0.2354092105263158,0.2394934210526316,760000
3,0.8,uncertainty_grid,0.76,5:1,5,1,0.7645907894736842,0.7605434210526316,0.0040473684210525,0.8280276315789473,0.8673776315789474,0.0393500000000001,4.536662990532577,0.1185236842105263,0.1255842105263158,0.0070605263157895,0.1550158409469117,0.1651243138130111,0.2354092105263158,0.2394565789473683,760000
3,0.9,fixed,0.85,5:1,5,1,0.8489907894736842,0.850925,0.0019342105263158,0.9862065789473684,1.0326671052631575,0.0464605263157891,4.49908068911999,0.1670394736842105,0.1767184210526315,0.009678947368421,0.1967506311673457,0.2076780222142158,0.1510092105263157,0.1490749999999999,760000
3,0.9,uncertainty_grid,0.85,5:1,5,1,0.8489907894736842,0.850625,0.0016342105263157,0.9862065789473684,1.0311776315789474,0.0449710526315789,4.3611353906813255,0.1670394736842105,0.1763605263157894,0.0093210526315789,0.1967506311673457,0.207330523222089,0.1510092105263157,0.149375,760000
