seed,cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,2:1,2,1,0.6,uaat_monotone,0.6092503987240829,0.9984051036682616,0.3038277511961722,0.4986910994764398,0.390749601275917,1254
1,2:1,2,1,0.6,fixed,0.6467304625199362,1.0247208931419458,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,2:1,2,1,0.6,uncertainty_grid,0.6467304625199362,1.0247208931419458,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,2:1,2,1,0.7,uaat_monotone,0.7049441786283892,1.0414673046251992,0.3732057416267942,0.5294117647058824,0.2950558213716108,1254
1,2:1,2,1,0.7,fixed,0.7360446570972887,1.055023923444976,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,2:1,2,1,0.7,uncertainty_grid,0.7360446570972887,1.055023923444976,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,2:1,2,1,0.8,uaat_monotone,0.7886762360446571,1.072567783094099,0.430622009569378,0.5460060667340748,0.2113237639553429,1254
1,2:1,2,1,0.8,fixed,0.8141945773524721,1.0901116427432216,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,2:1,2,1,0.8,uncertainty_grid,0.8141945773524721,1.0901116427432216,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,2:1,2,1,0.9,uaat_monotone,0.8524720893141946,1.1188197767145134,0.485645933014354,0.5696913002806361,0.1475279106858054,1254
1,2:1,2,1,0.9,fixed,0.8915470494417863,1.1578947368421053,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
1,2:1,2,1,0.9,uncertainty_grid,0.8915470494417863,1.1578947368421053,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
1,5:1,5,1,0.6,uaat_monotone,0.5901116427432217,1.897129186602871,0.2974481658692185,0.504054054054054,0.4098883572567783,1254
1,5:1,5,1,0.6,fixed,0.6467304625199362,2.0318979266347688,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,5:1,5,1,0.6,uncertainty_grid,0.6467304625199362,2.0318979266347688,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,5:1,5,1,0.7,uaat_monotone,0.6515151515151515,2.0311004784688995,0.3365231259968102,0.5165238678090576,0.3484848484848485,1254
1,5:1,5,1,0.7,fixed,0.7360446570972887,2.241626794258373,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,5:1,5,1,0.7,uncertainty_grid,0.7360446570972887,2.241626794258373,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,5:1,5,1,0.8,uaat_monotone,0.7328548644338118,2.236842105263158,0.3939393939393939,0.5375408052230686,0.2671451355661882,1254
1,5:1,5,1,0.8,fixed,0.8141945773524721,2.446570972886762,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,5:1,5,1,0.8,uncertainty_grid,0.8141945773524721,2.446570972886762,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,5:1,5,1,0.9,uaat_monotone,0.8125996810207337,2.4401913875598087,0.4505582137161084,0.5544651619234544,0.1874003189792663,1254
1,5:1,5,1,0.9,fixed,0.8915470494417863,2.7320574162679425,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
1,5:1,5,1,0.9,uncertainty_grid,0.8915470494417863,2.7320574162679425,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
1,10:1,10,1,0.6,uaat_monotone,0.5358851674641149,3.047846889952153,0.2583732057416268,0.4821428571428571,0.4641148325358851,1254
1,10:1,10,1,0.6,fixed,0.6467304625199362,3.7105263157894735,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,10:1,10,1,0.6,uncertainty_grid,0.6467304625199362,3.7105263157894735,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,10:1,10,1,0.7,uaat_monotone,0.6028708133971292,3.4035087719298245,0.3006379585326953,0.4986772486772486,0.3971291866028708,1254
1,10:1,10,1,0.7,fixed,0.7360446570972887,4.219298245614034,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,10:1,10,1,0.7,uncertainty_grid,0.7360446570972887,4.219298245614034,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,10:1,10,1,0.8,uaat_monotone,0.6794258373205742,3.861244019138757,0.354066985645933,0.5211267605633803,0.3205741626794258,1254
1,10:1,10,1,0.8,fixed,0.8141945773524721,4.7073365231259965,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,10:1,10,1,0.8,uncertainty_grid,0.8141945773524721,4.7073365231259965,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,10:1,10,1,0.9,uaat_monotone,0.7344497607655502,4.220893141945773,0.3955342902711323,0.5385450597176982,0.2655502392344497,1254
1,10:1,10,1,0.9,fixed,0.8915470494417863,5.355661881977671,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
1,10:1,10,1,0.9,uncertainty_grid,0.8915470494417863,5.355661881977671,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
1,20:1,20,1,0.6,uaat_monotone,0.3939393939393939,4.051036682615631,0.1722488038277512,0.437246963562753,0.6060606060606061,1254
1,20:1,20,1,0.6,fixed,0.6467304625199362,7.067783094098884,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,20:1,20,1,0.6,uncertainty_grid,0.6467304625199362,7.067783094098884,0.335725677830941,0.5191122071516646,0.3532695374800638,1254
1,20:1,20,1,0.7,uaat_monotone,0.532695374800638,5.57097288676236,0.2551834130781499,0.4790419161676646,0.467304625199362,1254
1,20:1,20,1,0.7,fixed,0.7360446570972887,8.174641148325358,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,20:1,20,1,0.7,uncertainty_grid,0.7360446570972887,8.174641148325358,0.3955342902711323,0.5373781148429035,0.2639553429027113,1254
1,20:1,20,1,0.8,uaat_monotone,0.580542264752791,6.208931419457736,0.2894736842105263,0.4986263736263736,0.419457735247209,1254
1,20:1,20,1,0.8,fixed,0.8141945773524721,9.228867623604463,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,20:1,20,1,0.8,uncertainty_grid,0.8141945773524721,9.228867623604463,0.4521531100478468,0.555337904015671,0.1858054226475278,1254
1,20:1,20,1,0.9,uaat_monotone,0.6339712918660287,6.841307814992025,0.3237639553429027,0.5106918238993711,0.3660287081339712,1254
1,20:1,20,1,0.9,fixed,0.8915470494417863,10.602870813397129,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
1,20:1,20,1,0.9,uncertainty_grid,0.8915470494417863,10.602870813397129,0.5247208931419458,0.5885509838998211,0.1084529505582136,1254
2,2:1,2,1,0.6,uaat_monotone,0.5964912280701754,0.9936204146730464,0.2950558213716108,0.4946524064171123,0.4035087719298246,1254
2,2:1,2,1,0.6,fixed,0.6172248803827751,1.009569377990431,0.3133971291866029,0.5077519379844961,0.3827751196172249,1254
2,2:1,2,1,0.6,uncertainty_grid,0.6172248803827751,1.009569377990431,0.3133971291866029,0.5077519379844961,0.3827751196172249,1254
2,2:1,2,1,0.7,uaat_monotone,0.69377990430622,1.0318979266347688,0.3628389154704944,0.5229885057471264,0.3062200956937799,1254
2,2:1,2,1,0.7,fixed,0.7073365231259968,1.043859649122807,0.3755980861244019,0.5310033821871477,0.2926634768740032,1254
2,2:1,2,1,0.7,uncertainty_grid,0.7073365231259968,1.043859649122807,0.3755980861244019,0.5310033821871477,0.2926634768740032,1254
2,2:1,2,1,0.8,uaat_monotone,0.7902711323763956,1.069377990430622,0.4298245614035088,0.5438950554994955,0.2097288676236044,1254
2,2:1,2,1,0.8,fixed,0.817384370015949,1.09170653907496,0.4545454545454545,0.5560975609756098,0.182615629984051,1254
2,2:1,2,1,0.8,uncertainty_grid,0.817384370015949,1.09170653907496,0.4545454545454545,0.5560975609756098,0.182615629984051,1254
2,2:1,2,1,0.9,uaat_monotone,0.8740031897926634,1.1403508771929824,0.507177033492823,0.5802919708029197,0.1259968102073365,1254
2,2:1,2,1,0.9,fixed,0.9226475279106858,1.1889952153110048,0.5558213716108453,0.6024200518582541,0.0773524720893141,1254
2,2:1,2,1,0.9,uncertainty_grid,0.9226475279106858,1.1889952153110048,0.5558213716108453,0.6024200518582541,0.0773524720893141,1254
