seed,target_coverage,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,0.6,5:1,5,1,fixed,0.4340632375966909,0.8494075857072749,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,0.6,5:1,5,1,uncertainty_grid,0.4340632375966909,0.8494075857072749,0.0566941646607931,0.1306126843975449,0.5659367624033091,42791
1,0.6,5:1,5,1,uaat_monotone,0.4436446916407656,0.8652987777803745,0.0617886938842279,0.1392751790981879,0.5563553083592344,42791
1,0.7,5:1,5,1,uaat_monotone,0.5209740365964806,1.042228505994251,0.1126405085181463,0.2162113667967523,0.4790259634035194,42791
1,0.7,5:1,5,1,fixed,0.5421934518940899,1.0957911710406394,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,0.7,5:1,5,1,uncertainty_grid,0.5421934518940899,1.0957911710406394,0.1275969245869458,0.235334683849834,0.4578065481059101,42791
1,0.8,5:1,5,1,uaat_monotone,0.6160407562337875,1.3145287560468322,0.1861139024561239,0.3021129699176814,0.3839592437662125,42791
1,0.8,5:1,5,1,uncertainty_grid,0.6837419083452128,1.4746792549835246,0.2316842326657474,0.3388474947023036,0.3162580916547872,42791
1,0.8,5:1,5,1,fixed,0.6848870089504803,1.4784417284008318,0.2326657474702624,0.3397140614870167,0.3151129910495197,42791
1,0.9,5:1,5,1,uaat_monotone,0.7394779276015985,1.6767077189128554,0.2832371293028908,0.3830231014758398,0.2605220723984015,42791
1,0.9,5:1,5,1,fixed,0.8265756818022482,1.9045126311607576,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
1,0.9,5:1,5,1,uncertainty_grid,0.8265756818022482,1.9045126311607576,0.3462176625926012,0.4188577890867967,0.1734243181977518,42791
2,0.6,5:1,5,1,uncertainty_grid,0.430464349980136,0.8586151293496297,0.0578158958659531,0.1343105320304017,0.5695356500198641,42791
2,0.6,5:1,5,1,fixed,0.431025215582716,0.859339580752962,0.0580729592671356,0.1347321622207764,0.568974784417284,42791
2,0.6,5:1,5,1,uaat_monotone,0.443995232642378,0.8763992428314366,0.0640788950947629,0.144323385441339,0.5560047673576219,42791
2,0.7,5:1,5,1,uaat_monotone,0.4906405552569465,0.9572339978032764,0.0895749106120445,0.182567277923315,0.5093594447430534,42791
2,0.7,5:1,5,1,uncertainty_grid,0.5234044542076605,1.031501951344909,0.1109812811105138,0.2120373264276465,0.4765955457923395,42791
2,0.7,5:1,5,1,fixed,0.5250169428150779,1.0363160477670537,0.1122665981164263,0.2138342384047004,0.474983057184922,42791
2,0.8,5:1,5,1,uaat_monotone,0.5673155570096515,1.1385571732373632,0.1411745460494029,0.2488465974625144,0.4326844429903485,42791
2,0.8,5:1,5,1,uncertainty_grid,0.6155499988315299,1.2532074501647543,0.1737514897992568,0.2822703113135915,0.38445000116847,42791
2,0.8,5:1,5,1,fixed,0.6241966768713048,1.279731719286766,0.1807856792316141,0.2896293523025084,0.3758033231286952,42791
2,0.9,5:1,5,1,uaat_monotone,0.6820359421373653,1.4359561590053982,0.2235984202285527,0.3278396436525612,0.3179640578626347,42791
2,0.9,5:1,5,1,uncertainty_grid,0.7390572783996635,1.5969713257460685,0.2672057208291463,0.3615494071146245,0.2609427216003365,42791
2,0.9,5:1,5,1,fixed,0.755649552475988,1.6544600500105164,0.2820219204973008,0.3732178753672491,0.244350447524012,42791
3,0.6,5:1,5,1,fixed,0.4027248720525344,0.7740646397606973,0.0353579023626463,0.087796669181222,0.5972751279474655,42791
3,0.6,5:1,5,1,uncertainty_grid,0.4027248720525344,0.7740646397606973,0.0353579023626463,0.087796669181222,0.5972751279474655,42791
3,0.6,5:1,5,1,uaat_monotone,0.4012058610455469,0.7753499567666099,0.0353111635624313,0.0880125815470643,0.5987941389544531,42791
3,0.7,5:1,5,1,uaat_monotone,0.4942861816737164,0.8980860461311957,0.0784744455609824,0.158763179045908,0.5057138183262835,42791
3,0.7,5:1,5,1,fixed,0.5036105723166087,0.9132995256011778,0.0833820195835572,0.165568445475638,0.4963894276833913,42791
3,0.7,5:1,5,1,uncertainty_grid,0.5036105723166087,0.9132995256011778,0.0833820195835572,0.165568445475638,0.4963894276833913,42791
3,0.8,5:1,5,1,uaat_monotone,0.6027903063728354,1.1248159659741537,0.1455212544693977,0.2414127316430177,0.3972096936271646,42791
3,0.8,5:1,5,1,uncertainty_grid,0.6393166787408567,1.2081746161576032,0.1694982589796919,0.2651240998647513,0.3606833212591432,42791
3,0.8,5:1,5,1,fixed,0.6505573601925638,1.2378303848940198,0.1776775490173167,0.2731158847618363,0.3494426398074362,42791
3,0.9,5:1,5,1,uaat_monotone,0.7104531326680844,1.3604496272580682,0.2141805519852305,0.3014703463701852,0.2895468673319156,42791
3,0.9,5:1,5,1,uncertainty_grid,0.8226028837839733,1.6202238788530297,0.2885653525274006,0.3507954545454545,0.1773971162160267,42791
3,0.9,5:1,5,1,fixed,0.8275104578065481,1.6307401089014046,0.2916501133415905,0.3524428127647557,0.1724895421934519,42791
