policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
uaat_monotone,bottle,0.45454545454545453,1.606060606060606,0.21212121212121213,0.4666666666666667,0.5454545454545454,66
uaat_monotone,cable,0.8583333333333333,2.5166666666666666,0.475,0.5533980582524272,0.14166666666666672,120
uaat_monotone,capsule,0.8380952380952381,3.495238095238095,0.6666666666666666,0.7954545454545454,0.16190476190476188,105
uaat_monotone,carpet,0.5913978494623656,2.2903225806451615,0.3763440860215054,0.6363636363636364,0.4086021505376344,93
uaat_monotone,grid,1.0,3.6507936507936507,0.7301587301587301,0.7301587301587301,0.0,63
uaat_monotone,hazelnut,0.9545454545454546,3.0,0.5909090909090909,0.6190476190476191,0.045454545454545414,88
uaat_monotone,leather,0.51,1.79,0.26,0.5098039215686274,0.49,100
uaat_monotone,metal_nut,0.782608695652174,3.1521739130434785,0.5869565217391305,0.75,0.21739130434782605,92
uaat_monotone,pill,0.9328358208955224,3.9477611940298507,0.7761194029850746,0.832,0.06716417910447758,134
uaat_monotone,screw,1.0,3.7109375,0.7421875,0.7421875,0.0,128
uaat_monotone,tile,0.4946236559139785,1.5806451612903225,0.21505376344086022,0.43478260869565216,0.5053763440860215,93
uaat_monotone,toothbrush,0.7941176470588235,2.7058823529411766,0.5,0.6296296296296297,0.20588235294117652,34
uaat_monotone,transistor,0.9,1.6,0.3,0.3333333333333333,0.09999999999999998,80
uaat_monotone,wood,0.746031746031746,2.7936507936507935,0.5079365079365079,0.6808510638297872,0.25396825396825395,63
uaat_monotone,zipper,0.9338842975206612,3.661157024793389,0.71900826446281,0.7699115044247787,0.06611570247933884,121
