policy,corruption,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
uaat_monotone,brightness,0.8993,0.25345,0.03055,0.033970866229289444,0.10070000000000001,40000
uaat_monotone,contrast,0.6729,0.6071,0.056,0.08322187546440779,0.32709999999999995,40000
uaat_monotone,defocus_blur,0.735375,0.540375,0.05515,0.07499575046744858,0.264625,40000
uaat_monotone,elastic_transform,0.783475,0.511025,0.0589,0.07517789335971155,0.21652499999999997,40000
uaat_monotone,fog,0.827975,0.44465,0.054525,0.06585343760379239,0.17202499999999998,40000
uaat_monotone,frost,0.6472,0.7073,0.0709,0.10954882571075401,0.3528,40000
uaat_monotone,gaussian_blur,0.57685,0.7239,0.06015,0.10427320793967236,0.42315,40000
uaat_monotone,gaussian_noise,0.328175,1.132825,0.0922,0.28094766511769637,0.671825,40000
uaat_monotone,glass_blur,0.308725,1.0330249999999999,0.06835,0.22139444489432342,0.691275,40000
uaat_monotone,impulse_noise,0.4258,0.8892,0.063,0.14795678722404884,0.5742,40000
uaat_monotone,jpeg_compression,0.75695,0.60905,0.0732,0.09670387740273466,0.24305,40000
uaat_monotone,motion_blur,0.67675,0.7080000000000001,0.07695,0.11370520871813816,0.32325000000000004,40000
uaat_monotone,pixelate,0.655025,0.7082250000000001,0.07265,0.11091179725964657,0.34497500000000003,40000
uaat_monotone,saturate,0.884975,0.31340000000000007,0.039675,0.044831774908895734,0.11502500000000004,40000
uaat_monotone,shot_noise,0.4496,0.951525,0.080225,0.17843638790035588,0.5504,40000
uaat_monotone,snow,0.72775,0.609,0.06735,0.09254551700446582,0.27225,40000
uaat_monotone,spatter,0.813625,0.5091249999999999,0.06455,0.07933630357965893,0.18637499999999996,40000
uaat_monotone,speckle_noise,0.47665,0.870975,0.069525,0.14586174341760202,0.52335,40000
uaat_monotone,zoom_blur,0.6603,0.7162000000000001,0.0753,0.11403907314856883,0.3397,40000
