seed,target_coverage,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,0.6,10:1,10,1,uaat_monotone,0.4188405797101449,2.602898550724638,0.2021739130434782,0.4826989619377163,0.5811594202898551,1380
1,0.6,10:1,10,1,fixed,0.6202898550724638,4.068115942028985,0.3688405797101449,0.594626168224299,0.3797101449275362,1380
1,0.6,10:1,10,1,uncertainty_grid,0.6202898550724638,4.068115942028985,0.3688405797101449,0.594626168224299,0.3797101449275362,1380
1,0.7,10:1,10,1,uaat_monotone,0.463768115942029,2.8768115942028984,0.2340579710144927,0.5046875,0.536231884057971,1380
1,0.7,10:1,10,1,fixed,0.7159420289855073,4.84927536231884,0.4565217391304347,0.6376518218623481,0.2840579710144927,1380
1,0.7,10:1,10,1,uncertainty_grid,0.7159420289855073,4.84927536231884,0.4565217391304347,0.6376518218623481,0.2840579710144927,1380
1,0.8,10:1,10,1,uaat_monotone,0.5478260869565217,3.459420289855073,0.3007246376811594,0.548941798941799,0.4521739130434783,1380
1,0.8,10:1,10,1,fixed,0.8304347826086956,5.763768115942029,0.5594202898550724,0.6736474694589878,0.1695652173913043,1380
1,0.8,10:1,10,1,uncertainty_grid,0.8304347826086956,5.763768115942029,0.5594202898550724,0.6736474694589878,0.1695652173913043,1380
1,0.9,10:1,10,1,uaat_monotone,0.6391304347826087,4.128985507246377,0.3768115942028985,0.5895691609977324,0.3608695652173913,1380
1,0.9,10:1,10,1,fixed,0.9304347826086956,6.663768115942029,0.6594202898550725,0.7087227414330218,0.0695652173913043,1380
1,0.9,10:1,10,1,uncertainty_grid,0.9304347826086956,6.663768115942029,0.6594202898550725,0.7087227414330218,0.0695652173913043,1380
