seed,target_coverage,result_dir,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,0.4,runs_seed3\e3_iwildcam\seed_01\policy_grid_40,5:1,5,1,fixed,0.3188053562665046,0.7407866140076185,0.0119183940548246,0.0373845477202756,0.6811946437334954,42791
1,0.4,runs_seed3\e3_iwildcam\seed_01\policy_grid_40,5:1,5,1,uncertainty_grid,0.3188053562665046,0.7407866140076185,0.0119183940548246,0.0373845477202756,0.6811946437334954,42791
1,0.4,runs_seed3\e3_iwildcam\seed_01\policy_grid_40,5:1,5,1,uaat_monotone,0.3649365520787081,0.7499240494496506,0.0229721203056717,0.0629482581967213,0.6350634479212919,42791
1,0.41,runs_seed3\e3_iwildcam\seed_01\policy_grid_41,5:1,5,1,fixed,0.322614568484027,0.7423523638148208,0.0129933864597695,0.0402752625860195,0.677385431515973,42791
1,0.41,runs_seed3\e3_iwildcam\seed_01\policy_grid_41,5:1,5,1,uncertainty_grid,0.322614568484027,0.7423523638148208,0.0129933864597695,0.0402752625860195,0.677385431515973,42791
1,0.41,runs_seed3\e3_iwildcam\seed_01\policy_grid_41,5:1,5,1,uaat_monotone,0.368255006893973,0.751396321656423,0.0239302657100792,0.0649828658459195,0.6317449931060269,42791
1,0.42,runs_seed3\e3_iwildcam\seed_01\policy_grid_42,5:1,5,1,fixed,0.3260966091000444,0.7430768152181534,0.0138346848636395,0.0424251110792604,0.6739033908999557,42791
1,0.42,runs_seed3\e3_iwildcam\seed_01\policy_grid_42,5:1,5,1,uncertainty_grid,0.3260966091000444,0.7430768152181534,0.0138346848636395,0.0424251110792604,0.6739033908999557,42791
1,0.42,runs_seed3\e3_iwildcam\seed_01\policy_grid_42,5:1,5,1,uaat_monotone,0.3711761819074104,0.7531490266644856,0.0248650417143791,0.0669898633759365,0.6288238180925896,42791
1,0.43,runs_seed3\e3_iwildcam\seed_01\policy_grid_43,5:1,5,1,fixed,0.3297656049169218,0.7451333224276133,0.014979785468907,0.0454255545319254,0.6702343950830782,42791
1,0.43,runs_seed3\e3_iwildcam\seed_01\policy_grid_43,5:1,5,1,uncertainty_grid,0.3297656049169218,0.7451333224276133,0.014979785468907,0.0454255545319254,0.6702343950830782,42791
1,0.43,runs_seed3\e3_iwildcam\seed_01\policy_grid_43,5:1,5,1,uaat_monotone,0.3742142039213853,0.7559533546773853,0.0260335117197541,0.0695684756135639,0.6257857960786146,42791
1,0.44,runs_seed3\e3_iwildcam\seed_01\policy_grid_44,5:1,5,1,fixed,0.3345563319389591,0.7456007104297633,0.0160314084737444,0.0479184129645152,0.6654436680610409,42791
