uaat_target,baseline,baseline_target,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
0.52,uncertainty_grid,0.4,0.376811594,0.386231884,0.00942028986,2.347826087,2.483333333,0.135507246,5.456667639,0.172463768,0.186956522,0.0144927536,0.457692308,0.484052533,0.623188406,0.613768116,1380
0.53,fixed,0.4,0.380434783,0.386231884,0.00579710145,2.373188406,2.483333333,0.110144928,4.43536621,0.175362319,0.186956522,0.0115942029,0.460952381,0.484052533,0.619565217,0.613768116,1380
0.53,uncertainty_grid,0.4,0.380434783,0.386231884,0.00579710145,2.373188406,2.483333333,0.110144928,4.43536621,0.175362319,0.186956522,0.0115942029,0.460952381,0.484052533,0.619565217,0.613768116,1380
0.54,fixed,0.4,0.384782609,0.386231884,0.00144927536,2.405072464,2.483333333,0.0782608696,3.151444412,0.178985507,0.186956522,0.00797101449,0.465160075,0.484052533,0.615217391,0.613768116,1380
0.54,uncertainty_grid,0.4,0.384782609,0.386231884,0.00144927536,2.405072464,2.483333333,0.0782608696,3.151444412,0.178985507,0.186956522,0.00797101449,0.465160075,0.484052533,0.615217391,0.613768116,1380
0.55,fixed,0.41,0.392753623,0.392753623,0,2.433333333,2.527536232,0.0942028986,3.72706422,0.182608696,0.192028986,0.00942028986,0.464944649,0.488929889,0.607246377,0.607246377,1380
0.55,uncertainty_grid,0.41,0.392753623,0.392753623,0,2.433333333,2.527536232,0.0942028986,3.72706422,0.182608696,0.192028986,0.00942028986,0.464944649,0.488929889,0.607246377,0.607246377,1380
0.56,fixed,0.41,0.394202899,0.392753623,0.00144927536,2.446376812,2.527536232,0.0811594203,3.211009174,0.184057971,0.192028986,0.00797101449,0.466911765,0.488929889,0.605797101,0.607246377,1380
0.56,uncertainty_grid,0.41,0.394202899,0.392753623,0.00144927536,2.446376812,2.527536232,0.0811594203,3.211009174,0.184057971,0.192028986,0.00797101449,0.466911765,0.488929889,0.605797101,0.607246377,1380
0.57,fixed,0.41,0.394927536,0.392753623,0.00217391304,2.452898551,2.527536232,0.0746376812,2.952981651,0.184782609,0.192028986,0.00724637681,0.467889908,0.488929889,0.605072464,0.607246377,1380
0.57,uncertainty_grid,0.41,0.394927536,0.392753623,0.00217391304,2.452898551,2.527536232,0.0746376812,2.952981651,0.184782609,0.192028986,0.00724637681,0.467889908,0.488929889,0.605072464,0.607246377,1380
0.58,fixed,0.45,0.41884058,0.418115942,0.000724637681,2.595652174,2.66884058,0.0731884058,2.742329623,0.201449275,0.208695652,0.00724637681,0.480968858,0.499133449,0.58115942,0.581884058,1380
0.58,uncertainty_grid,0.45,0.41884058,0.418115942,0.000724637681,2.595652174,2.66884058,0.0731884058,2.742329623,0.201449275,0.208695652,0.00724637681,0.480968858,0.499133449,0.58115942,0.581884058,1380
0.59,fixed,0.45,0.421014493,0.418115942,0.00289855072,2.607971014,2.66884058,0.0608695652,2.280749389,0.202898551,0.208695652,0.00579710145,0.481927711,0.499133449,0.578985507,0.581884058,1380
0.59,uncertainty_grid,0.45,0.421014493,0.418115942,0.00289855072,2.607971014,2.66884058,0.0608695652,2.280749389,0.202898551,0.208695652,0.00579710145,0.481927711,0.499133449,0.578985507,0.581884058,1380
0.6,fixed,0.45,0.423913043,0.418115942,0.00579710145,2.634057971,2.66884058,0.0347826087,1.303285365,0.205797101,0.208695652,0.00289855072,0.485470085,0.499133449,0.576086957,0.581884058,1380
0.6,uncertainty_grid,0.45,0.423913043,0.418115942,0.00579710145,2.634057971,2.66884058,0.0347826087,1.303285365,0.205797101,0.208695652,0.00289855072,0.485470085,0.499133449,0.576086957,0.581884058,1380
