metric,calib_mean,test_mean,test_minus_calib_mean,calib_p50,test_p50,calib_p90,test_p90,calib_std,test_std,calib_n,test_n
uncertainty,0.11605548978195165,0.21852390108084221,0.10246841129889056,0.0244524776935577,0.1523539125919342,0.3721882134675979,0.5633062124252319,0.15772017395698315,0.22526754221822282,7314,42791
score,0.8649666497403884,0.7543048076833939,-0.11066184205699447,0.983794778585434,0.8547519445419312,0.9999911785125732,0.9999698400497437,0.19759989960118166,0.26146695754419536,7314,42791
