policy,mean_group_risk,median_group_risk,worst_group_risk,worst_group,n_groups
uncertainty_grid,1.5321913486480805,1.5321913486480805,1.5321913486480805,test,1
uaat_monotone,1.53686522866958,1.53686522866958,1.53686522866958,test,1
fixed,1.5404641162861348,1.5404641162861348,1.5404641162861348,test,1
