policy,category,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
uncertainty_grid,bottle,0.25757575757575757,1.0454545454545454,0.030303030303030304,0.11764705882352941,0.7424242424242424,66
uncertainty_grid,cable,0.5916666666666667,2.8249999999999997,0.24166666666666667,0.4084507042253521,0.4083333333333333,120
uncertainty_grid,capsule,0.4857142857142857,3.942857142857143,0.34285714285714286,0.7058823529411765,0.5142857142857142,105
uncertainty_grid,carpet,0.23655913978494625,2.053763440860215,0.12903225806451613,0.5454545454545454,0.7634408602150538,93
uncertainty_grid,grid,0.9047619047619048,6.761904761904761,0.6666666666666666,0.7368421052631579,0.09523809523809523,63
uncertainty_grid,hazelnut,0.5,1.8636363636363635,0.13636363636363635,0.2727272727272727,0.5,88
uncertainty_grid,leather,0.14,1.16,0.03,0.21428571428571427,0.86,100
uncertainty_grid,metal_nut,0.5760869565217391,4.445652173913044,0.40217391304347827,0.6981132075471698,0.42391304347826086,92
uncertainty_grid,pill,0.6194029850746269,5.156716417910447,0.47761194029850745,0.7710843373493976,0.3805970149253731,134
uncertainty_grid,screw,0.7421875,5.1015625,0.484375,0.6526315789473685,0.2578125,128
uncertainty_grid,tile,0.3225806451612903,1.2150537634408602,0.053763440860215055,0.16666666666666666,0.6774193548387097,93
uncertainty_grid,toothbrush,0.4117647058823529,2.058823529411765,0.14705882352941177,0.35714285714285715,0.5882352941176471,34
uncertainty_grid,transistor,0.775,2.1,0.1875,0.24193548387096775,0.22499999999999998,80
uncertainty_grid,wood,0.09523809523809523,1.380952380952381,0.047619047619047616,0.5,0.9047619047619048,63
uncertainty_grid,zipper,0.4049586776859504,2.7438016528925617,0.21487603305785125,0.5306122448979592,0.5950413223140496,121
